Publication Number,Publication Date,Title,Priority Data,IPC,Applicants,Inventors,FP Image
CA2455140,24.07.2005,LOW FAT POTATO CHIPS,NA,A23L 1/217;A23L 1/01;A23L 1/216,"MAGUIRE, JAMES EDWARD","MAGUIRE, JAMES EDWARD",NA
US4308286,30.12.1981,Process of producing non-docked fried dough crust,NA,A21D 8/00;A21B 5/00;A21B 5/08;A21D 8/00;A21D 13/00;A21D 13/00;A47J 37/12;A47J 37/12,Jeno's Inc.,Anstett David N.;Volkert Egbert W.;Schryer Richard F.,NA
WO2001023276,06.04.2001,METHOD OF PACKAGING AND COOKING FOOD IN AN OVENABLE CONTAINER,"[60/156,854 30.09.1999 US]",B29C 39/00;B65D 81/34;C04B 26/04,THE DOW CHEMICAL COMPANY,"URSO, Michael, S.;RUBBRIGHT, Harry, A.",NA
US4195746,02.04.1980,Food container,[05840745 1977-10-11T23:59:59.000Z US],B65D 1/34;B65D 1/34;B65D 81/26;B65D 81/26,COTTRELL DOUGLAS J,Cottrell Douglas J.,NA
CA2653243,06.08.2010,RUBBER FOOD STORAGE BIN LID,NA,B65D 47/00;B65D 43/00;B65D 51/00,"BUCKLER, MICHAELS;O'BRIEN-REED, MACKENZIE S.","BUCKLER, MICHAELS;O'BRIEN-REED, MACKENZIE S.",NA
WO2006067824,30.06.2006,PASTA WITH IMPROVED DIGERIBILITY COMPRISING ISOFLAVONES,[MI2004A002442 21.12.2004 IT],A23L 1/16,"ALIVERIS S.P.A.;CLERICI, Carlo","CLERICI, Carlo",NA
US5073391,18.12.1991,Semi-solid food depositor and method of use,NA,A21C 9/00;A21C 9/04;A21C 11/00;A21C 11/18,The Pillsbury Company,DeMars Jimmy A.;Kempf Thomas P.;Vargas Greg,NA
US4075360,22.02.1978,Preparation of imitation mozzarella cheese,[05489583 1974-07-18T23:59:59.000Z US],A23C 19/00;A23C 19/093;A23C 20/00;A23C 20/00,SCM Corporation,Rule Charles E.;Werstak Charles E.,NA
US20030065565,04.04.2003,Method and system for routing food orders over a computer network,[09491265 2000-01-26T23:59:59.000Z US],G06F 17/60;G06Q 10/00;G06Q 10/00;G06Q 30/00;G06Q 30/00,NA,Wagner Peter J.;Azrak George Z.;Monteith Timothy J.;Vitek James G.;Scheible John R.;Haubenstricker David W.,NA
US20050023115,04.02.2005,Switching device for gas operated appliance,[2434697 2003-07-07T23:59:59.000Z CA],H01H 9/02;H01H 9/06;F24C 3/12;F24C 3/12;H01H 43/00;H01H 43/10,VIEIRA MANUEL,Vieira Manuel,NA
WO2002080684,18.10.2002,SELF-RISING DOUGH CONTAINING FOOD PRODUCT,"[09/824,335 02.04.2001 US]",A21D 2/14;A21D 2/18;A21D 6/00,"RHODIA, INC.;BRODIE, John;SHAHEED, Amr","BRODIE, John;SHAHEED, Amr",NA
US6136364,25.10.2000,Microcapsule flavor delivery system,NA,A23D 7/04;A23D 7/02;A23D 7/04;A23L 1/22;A23L 1/22;A23L 1/226;A23L 1/226;B01J 13/04;B01J 13/04,"Kraft Foods, Inc.",Merchant Zohar M.;Nicholson Vikki J.,NA
CA2746710,09.07.2010,TOOL WITH ERGONOMIC HANDLE AND REPLACEABLE CUTTER HEAD,"[12/620,999 2009-11-18T23:59:59.000Z US, 61/138,262 2008-12-17T23:59:59.000Z US]",B25G 1/10;B25B 33/00;B25F 1/00;B25F 1/02;B25G 1/00;B25G 3/00,"KLEVER KUTTER, L.L.C.","KEMPKER, JEFFREY ALLEN;CRAIN, ORVILLE V.;JACOBS, MATTHEW JON",NA
DE000010056337,17.05.2002,"Printed advertising material on pizza carton possessing flap-lid and fold-edge with information on inside and outside of lid,",NA,G09F 23/1;B65D 85/36;B65D 5/52,DITTMANN DETLEF,DITTMANN DETLEF,NA
DE000020308891,31.10.2003,"Tray for carrying pizza boxes, has four bands glued in shape of cross to cardboard base plate",NA,B65D 71/02;B65D 85/36,BIANCARDI ANGELO;ULDERICO MICELI,NA,NA
DE000020308889,31.10.2003,"Bag for carrying pizza boxes, has collapsible side walls formed by concertina arrangement of side parts made from card",NA,A45C 11/24;A45C 7/;A45C 11/2,BIANCARDI ANGELO;ULDERICO MICELI,NA,NA
DE102007006395,08.08.2008,"Continuous production of flat pastry goods, i.e. pizza bases, bakes dough blanks followed by a compression station",NA,A21C 15/;A21D 8/06,OETKER NAHRUNGSMITTEL,SPIEGEL UDO;SIEKERKOTTE RALF,NA
US5884006,17.03.1999,Rechargeable phase change material unit and food warming device,NA,A47G 23/04;H05B 3/60;A47J 39/02;A47J 41/00;F28D 20/02;H05B 3/68,FROHLICH; SIGURD;KOELLNER; HANS JOCHEN,Frohlich Sigurd;Koellner Hans Jochen,NA
US20060060579,24.03.2006,Food container,NA,B65D 51/16;B65D 51/16,NA,Guarrascio Bernard,NA
WO2010078007,09.07.2010,TOOL WITH ERGONOMIC HANDLE AND REPLACEABLE CUTTER HEAD,"[61/138,262 17.12.2008 US, 12/620,999 18.11.2009 US]",B25G 1/10;B25G 1/00;B25G 3/00;B25F 1/02;B25B 33/00;B25F 1/00,"KLEVER KUTTER, L.L.C.;KEMPKER, Jeffrey Allen;CRAIN, Orville V.;JACOBS, Matthew Jon","KEMPKER, Jeffrey Allen;CRAIN, Orville V.;JACOBS, Matthew Jon",NA
EP0350847,18.01.1990,MICROWAVE HEATING PACKAGE,[21753488 1988-07-11T23:59:59.000Z US],H05B 6/64;B32B 7/02;B65D 81/34,JAMES RIVER CORPORATION,"PAWLOWSKI, THOMAS D.",NA
US20140252076,12.09.2014,CONTAINER FOR FOOD OR OTHER OBJECTS,NA,B65D 5/49;B65D 5/72;B65D 5/66;B65D 5/46,Pollock Kerry Marvin;Piastrelli Joseph Richard,Pollock Kerry Marvin;Piastrelli Joseph Richard,NA
US20030159596,29.08.2003,System for pumping and dispensing sauce,"[10364689 2003-02-10T23:59:59.000Z US, 60355262 2002-02-08T23:59:59.000Z US]",A21C 9/04;A23L 1/00;A21C 9/00;A23P 1/00;A21C 9/04;B05C 11/10;B05C 5/02;B05C 5/02;B05C 11/10;B05C 11/10,"Automatic Bar Controls, Inc.",Tuyls James M.;Jepson Antonio J.;Salmela Juha K.;Dewing John W.,NA
US20140037793,07.02.2014,SHORTENING PARTICLE COMPOSITIONS AND DOUGH PRODUCTS MADE THEREFROM,NA,A23D 9/00,"General Mills, Inc.;General Mills, Inc.",Erickson Braden J.;Seibold Jon D.;Oppenheimer Alan A.,NA
US5244020,15.09.1993,Dispenser,NA,G01G 13/00;G01G 13/02;G01G 19/52;G01G 19/56,Middleby Marshall Inc.,Bruno Adrian A.;Caron Richard;Bressner Gorm;Barnes Kevin;Carbone Philip;Simek Robert,NA
EP0620975,27.10.1994,IMPROVED MICROWAVEABILITY OF BAKED PRODUCTS.,[5081293 1993-04-21T23:59:59.000Z US],A21D 8/00;A21D 8/06;A21D 8/06;A21D 15/02;A21D 15/02,GEN FOODS INC,MAO WEI-WEN;BARBER DEBORAH DIANE;HELLGETH LORRAINE CLAUSS,NA
US20090078246,27.03.2009,BARBEQUE GRILL ASSEMBLY,[2007905189 2007-09-21T23:59:59.000Z AU],F24C 3/00;F24C 3/00,NA,Leavens Benjamin John;Vega Edgi Eduardo,NA
CA2312461,23.12.2000,BACON CHIPS AND PATTIES,"[338,159 1999-06-22T23:59:59.000Z US]",A23L 1/31;A23L 1/314;A23L 1/317,"KRAFT FOODS, INC.","PAULOS, WILLIAM THEODORE;CHOATE, GREGORY KENT",NA
WO1999044428,11.09.1999,CRISPING BATTER AND CRISPING BATTER-COATED FOOD PRODUCT,"[60/076,452 02.03.1998 US, 60/081,714 14.04.1998 US]",A21D 6/00;A21D 8/02;A21D 10/04;A21D 13/00;A23L 1/00;A23L 1/01;A23L 1/164,"CHEF AMERICA, INC.;PRINS, Timothy, G.;MEIGS, Russell, A.","PRINS, Timothy, G.;MEIGS, Russell, A.",NA
EP0068135,06.01.1983,"OVEN SYSTEM, AND PROCESS FOR COOKING FOOD PRODUCTS",[26619981 1981-05-22T23:59:59.000Z US],A21B 1/26;A21B 1/48;A21B 1/42;A21B 1/24;A21B 1/26;A21B 1/48;F24C 15/32,WOLVERINE CORPORATION,"BROWN, ERNEST C.;BUSKE, WALTER E.",NA
US3941891,03.03.1976,Synergistic combination cheese extender,[05455510 1974-03-27T23:59:59.000Z US],A23C 19/00;A23C 19/093;A23C 20/00;A23C 20/00;A23J 3/00;A23J 3/10,Beatrice Foods Co.,Kasik Robert L.;Peterson Marvin A.,NA
EP1479619,25.11.2004,Susceptor tray and microwavable dough products,"[443252  , US20030443252  , 44325203 2003-05-22T23:59:59.000Z US]",B65D 81/34;B65D 77/04,KRAFT FOODS HOLDINGS INC,COGLEY PAUL A;PETROFSKY KEITH E;GREINER STEVEN P;TANGPRASERTCHAI URAIWAN;HEWITT AMY L,NA
US20080044519,22.02.2008,Use of Ozone for Improving Kneading,[04002846 2004-03-19T23:59:59.000Z FR],A21D 2/00;A21D 2/04;A21C 1/00;A21C 1/10;A21C 1/14;A21D 8/02;A21D 8/02,GREEN TECHNOLOGIES SARL,Coste Christian;Dubois Michel,NA
US4016298,06.04.1977,Cheese extender,[05455510 1974-03-27T23:59:59.000Z US],A23C 19/00;A23C 19/093;A23C 20/00;A23C 20/00,Beatrice Foods Co.,Kasik Robert L.;Peterson Marvin A.,NA
EP0541834,20.05.1993,"Plate for the preparation of a food product, such as a pizza, method for the preparation of such a food product and final product",[91119150 1991-11-11T23:59:59.000Z EP],A21C 9/08;A21B 3/13;A21B 3/13;A21C 9/08,FRISCO FINDUS AG,GUEROULT ALAIN,NA
es2282018,02.10.2007,Pizza packaging has connection between base and lid made by multiple tongue pieces that lodges in complementary orifices in simpler and stable way,[200501636 2005-07-06T23:59:59.000Z ES],B65D 85/36,PAPER SA,TEIXIDOR CASANOVAS PERE;CANALES CANAS FERNANDO MANUEL,NA
kr1020060082062,15.07.2006,"FOOD DELIVERY BOX WHICH IS USED FOR TRANSPORTING VARIOUS KINDS OF FOODS, LIKE CHINESE, KOREAN AND JAPANESE FOODS OR FAST FOODS, LIKE CHICKEN, PIZZA OR HAMBURG, ETC",NA,B65D 6/18;B62J 7/04;B62J 7/08,"SUNG-HWA TECHNICAL INDUSTRY CO., LTD.","KIM, BYEONG UK",NA
kr1020070076030,25.07.2007,"TRIANGLE SHAPE VINYL PACK MANUFACTURE SYSTEM, CAPABLE OF FORMING A PACKAGING SHEET IN A TRIANGULAR SHAPE TO PACKAGE TRIANGULAR FOOD SUCH AS SANDWICHES PIECES OF PIZZA",NA,B65B 25/06,TK CORPORATION,"KIM, YOUNG HAK",NA
kr1020100075025,03.07.2010,CAKE FIXING DEVICE CAPABLE OF PREVENTING THE FACE OF A USER FROM BEING HURT WHEN A CAKE OR A PIZZA IS COVERED ON THE FACE OF THE USER,NA,B65D 57/00;B65D 85/36;A21D 13/08,"KWON, SEOK WUNG","KWON, SEOK WUNG",NA
kr1020050123389,30.12.2005,"FOOD PACKAGE BOX, WHICH HAS AUXILIARY BOX WHICH IS DISTINGUISHED BY CUT LINE ON BOTTOM PLATE SO THAT FOOD, LIKE PIZZA, ETC. IS STORED WHEN LEFT",NA,B65D 5/20;B65D 85/36,"LEE, SOO CHOL;PARK, TAE JIN;LEE, WON JU","LEE, SOO CHOL;PARK, TAE JIN;LEE, WON JU",NA
CA2215983,18.10.1996,"METHOD FOR PREPARING SAVOURY OR SWEET FOODS SUCH AS PIZZAS, PIES AND THE LIKE FROM BAKED PASTRY AND A SAUCE AND/OR A TOPPING AND/OR CONDIMENTS",[95/04498 1995-04-12T23:59:59.000Z FR],B65D 81/32;A21D 10/00;A21D 13/00;B65D 25/08;B65D 85/72;B65D 85/36,SOCIETE CIVILE B.A.R.H.,"ACKNIN, CHRISTIAN;RAYMOND, PHILIPPE",NA
PT1580145,31.07.2007,"HOT BOX FOR PIZZAS TO TAKE AWAY, SUITED TO BE CONNECTED TO THE CAR CIGARETTE LIGHTER SOCKET AND/OR BATTERY-OPERATED",[PD20040050 2004-02-20T23:59:59.000Z IT],B65D 81/34;A47J 37/06;A47J 39/00,MARTINI CARLO,MARTINI CARLO,NA
CA2361393,01.09.2000,MICROWAVE PACKAGING WITH IMPROVED ORIENTATION FEATURE,"[09/255,212 1999-02-22T23:59:59.000Z US]",B65D 81/34;B65D 5/18,THE PROCTER & GAMBLE COMPANY,"BONO, JAMES LEE;TUCKER, LEWIS ALEXANDER",NA
CA2362604,01.09.2000,MICROWAVE PACKAGING KIT FOR IMPROVED COOKING PERFORMANCE,"[09/255,214 1999-02-22T23:59:59.000Z US]",B65D 81/34;B65D 5/18,THE PROCTER & GAMBLE COMPANY,"BONO, JAMES LEE;TUCKER, LEWIS ALEXANDER",NA
US20080116705,23.05.2008,Sandwiches 'n more toddler utensil,NA,A47G 21/10;A47J 43/28,Rodriguez Deborah Suzanne,Rodriguez Deborah Suzanne,NA
US4933534,13.06.1990,Electrical heater and plug,NA,A47J 27/00;A47J 27/00;H05B 3/34;H05B 3/34,CUNNINGHAM PAUL A;GRISE FREDERICK GERARD J,Cunningham Paul A.;Grise Frederick G. J.,NA
EP2005866,25.12.2008,Method for cooking a dish,[07012166 2007-06-21T23:59:59.000Z EP],A47J 37/06;A21B 1/00;F24C 7/00,ELECTROLUX HOME PROD CORP,TUREK RICHARD,NA
WO2007056499,19.05.2007,ORDERING SYSTEM AND METHOD GOODS AND SERVICES USING A STATELESS COMMUNICATION PROTOCOL,"[60/734,742 08.11.2005 US, 60/816,265 22.06.2006 US, 60/841,995 31.08.2006 US, 60/845,156 15.09.2006 US]",G06Q 30/00,"IPDEV CO.;ASHER, Marc;KARGMAN, James, B.;EAGLE, Jay","ASHER, Marc;KARGMAN, James, B.;EAGLE, Jay",NA
US3994213,01.12.1976,Sandwich preparation and warming pan,NA,A47J 37/10;A47J 37/10,BREZINSKI ADAM,Brezinski Adam,NA
CA2511367,30.07.2004,MICROWAVE SUSCEPTOR PACKAGING MATERIAL,"[60/438,041 2003-01-03T23:59:59.000Z US]",B65D 81/34,E.I. DU PONT DE NEMOURS AND COMPANY,"BLANKENBECKLER, NICOLE L.;CHI, CHENG-HANG",NA
CA1219772,01.04.1987,YEAST-RAISABLE WHEAT-BASED FOOD PRODUCTS THAT EXHIBIT   REDUCED DETERIORATION IN PALATABILITY UPON EXPOSURE  TO MICROWAVE ENERGY,NA,A21D 8/00;A21D 13/00,NA,"OTTENBERG, RAY",NA
US20090064873,13.03.2009,WARM FOOD PRODUCT DISTRIBUTOR,[2006PI0061 2006-06-01T23:59:59.000Z IT],A47J 37/00;A47J 37/00;A47J 43/00;A47J 43/00,STARSTATUS TRADING INTERNACIONAL LDA,BIANCHI Marco,NA
kr100732061,20.06.2007,IZZA USING FERMENTED SOYBEANS AND ONIONS,NA,NA,CHANGWON NATIONAL UNIVERSITY INDUSTRY ACADEMY COOPERATION CORPS,"KIM, CHANG SOON;SUNG, CHAE RAN",NA
WO2004091352,29.10.2004,SHIELD FOR FOOD PRODUCT,"[60/460,917 07.04.2003 US]",A47J 36/06;A47J 37/01,"PIZZA HUT, INC.;WOODWARD, Steven, J.;CRAIG, Todd, W.;AMIGH, Steven, A.;HOLMAN, Andre","WOODWARD, Steven, J.;CRAIG, Todd, W.;AMIGH, Steven, A.;HOLMAN, Andre",NA
US20030052117,21.03.2003,Food warmer and preserver,"[10225657 2002-08-22T23:59:59.000Z US, 60314833 2001-08-24T23:59:59.000Z US]",F27D 11/00;F27D 11/00;F27D 11/00,NA,Iniestra Hernandez Jorge,NA
US20030150903,15.08.2003,Tamper-resistant food container,"[10180376 2002-06-26T23:59:59.000Z US, 60355654 2002-02-08T23:59:59.000Z US]",B65D 5/00;B65D 5/20;B65D 5/20;B65D 5/22;B65D 85/30;B65D 85/36,Arvco Container Corporation,"Hanna, David M.",NA
EP0662785,20.07.1995,PRE-BAKED MICROWAVEABLE PASTRY SYSTEMS,"[9306817 1993-07-20T23:59:59.000Z US, 95475692 1992-09-30T23:59:59.000Z US]",A23P 1/08;A21D 13/00;A21D 10/00;A21D 13/00,PILLSBURY CO,PESHECK PETER S;MCINTYRE TAMMY;LEVIN LIZA,NA
US5954561,22.09.1999,Play material container having plural play features,NA,A63H 33/04;A63H 33/00;A63H 33/00;A63H 33/30;A63H 33/30,"Mattel, Inc.",Cannone Gregory M.,NA
WO1992018019,30.10.1992,SEMI-SOLID FOOD DEPOSITOR AND METHOD OF USE,"[688,640 19.04.1991 US]",A21C 9/04;A21C 11/18,THE PILLSBURY COMPANY,"DEMARS, Jimmy, A.;KEMPF, Thomas, P.;VARGAS, Greg",NA
US20040238538,03.12.2004,Method and system for attaching packaged food items,[10447337 2003-05-29T23:59:59.000Z US],B65D 21/02;A47G 19/00;B65D 5/42;B65D 5/42,NA,Cosentino Marc P.,NA
US6320165,21.11.2001,Impingement oven airflow devices and methods,[60125811 1999-03-23T23:59:59.000Z US],A21B 1/48;A21B 1/26;A21B 1/00;F27B 9/24;A21B 1/24;F27D 7/04;F24C 15/32;F24C 15/32,"Pizza Hut, Inc.","Ovadia, David Z.",NA
EP0858951,20.08.1998,Container for serving a ready-to-eat food product,[MI970109U 1997-02-13T23:59:59.000Z IT],A47G 21/00;B65D 1/00;A47G 21/00;B65D 65/12;B65D 30/22;B65D 75/30;B65D 81/32;B65D 81/32,FER CART & C S N C,FERRARA VINCENZO,NA
US20010008648,20.07.2001,Bacon chips and patties,"[09338159 1999-06-22T23:59:59.000Z US, 09799985 2001-03-06T23:59:59.000Z US]",A23L 1/317;A23L 1/314;A23L 1/314;A23L 1/314;A23L 1/317;A23L 1/317,"Kraft Foods, Inc.","Paulos, William T.;Choate, Gregory K.",NA
US6224927,02.05.2001,Process for preparing bacon chips and patties,[09338159 1999-06-22T23:59:59.000Z US],A23L 1/317;A23L 1/314;A23L 1/314;A23L 1/314;A23L 1/317;A23L 1/317,"Kraft Foods, Inc.","Paulos, William T.;Choate, Gregory K.",NA
CA1075646,16.04.1980,FOOD CONTAINER,NA,B65D 1/36;B65D 81/38,NA,"COTTRELL, DOUGLAS J.",NA
US6299059,10.10.2001,Mechanical lock for paper carton,[60178053 2000-01-24T23:59:59.000Z US],B65D 45/00;B65D 5/42;B65D 5/42;B65D 5/64;B65D 5/68;B65D 85/30;B65D 85/36,International Paper Co.,"Bernstein, Linda A.",NA
za1997/02455,27.11.1997,MICROWAVABLE THERMAL ENERGY STORAGE MATERIAL,"[08/623.401  US, 08/623.401 1996-03-28T23:59:59.000Z US]",F24H;F24D,UNIV OF DAYTON,IVAL O SALYER,NA
WO2000056169,29.09.2000,IMPINGEMENT OVEN AIRFLOW DEVICES AND METHODS,"[60/125,811 23.03.1999 US]",F24C 15/32,"PIZZA HUT, INC.","OVADIA, David, Z.",NA
US20110099818,06.05.2011,Hand held rotary cutting devices,NA,B26B 3/00,"Moreland Jessica A.;Trident Design, LLC;Hawker Christopher L.",Moreland Jessica A.;Hawker Christopher L.,NA
WO1991012597,23.08.1991,AUTOMATIC HOT FOOD DISPENSER,[40025 A/90 12.02.1990 IT],G07F 9/10;G07F 11/58,"CARBIF DI ZAGNI IVANA;BIFFARELLA, Giuseppe","BIFFARELLA, Giuseppe",NA
US5023096,12.06.1991,Food product and method for making the same,NA,A23C 19/00;A23C 19/09;A23L 1/18;A23L 1/18,"NatureStar Foods, Inc.",Plochman Frederic W.,NA
US4305329,16.12.1981,Turntable oven,NA,A21B 1/00;A21B 1/24;A21B 1/44;A47J 37/04;A47J 37/04,FENOGLIO BERNARD F,Fenoglio Bernard F.,NA
US20020089414,12.07.2002,Delivery indicator system,"[09756974 2001-01-09T23:59:59.000Z US, 60213606 2000-06-21T23:59:59.000Z US]",G08B 5/00;G08B 5/22;G08B 5/36,BOGGS BRUCE F.;BODE JOHN M.,Boggs Bruce F.;Bode John M.,NA
US20120096719,27.04.2012,Rotary cutter,NA,B26B 3/00;B26D 1/157,Zdroik Ronald J.;Galster Garet K.,Zdroik Ronald J.;Galster Garet K.,NA
US20140190020,11.07.2014,Rotary Cutter,NA,B26B 25/00,Galster Garet K.;Zdroik Ronald J.,Galster Garet K.;Zdroik Ronald J.,NA
CA1115116,30.12.1981,MULTI-PURPOSE PRE-MIX FOR HOME BAKING  PROCESSES,"[850,475 1977-11-11T23:59:59.000Z US]",A21D 10/02;A21D 2/00;A21D 10/00;A21D 13/08,NA,"HENSELMAN, MARLENE R.;WILCOX, DONALD F.;WALSH, HELEN J.",NA
CA2271491,14.05.2000,"STACKABLE, FOLDABLE FOOD CONTAINER","[09/191,617 1998-11-13T23:59:59.000Z US]",B65D 5/20;B65D 5/66;B65D 21/032,ARVCO CONTAINER CORPORATION,"SPEESE, SCOTT;HANNA, DAVID M.",NA
CA2278890,21.04.2000,CANDIED TOMATOES,[98203522.2 1998-10-20T23:59:59.000Z EP],A23L 1/212;A23B 7/022;A23B 7/08;A23B 7/157;A23G 3/00,SOCIETE DES PRODUITS NESTLE S.A.,"GONZALEZ, CARMEN;HARLAUX, GINETTE",NA
WO2000050317,01.09.2000,MICROWAVE PACKAGING WITH IMPROVED DIVIDER,"[09/255,220 22.02.1999 US]",B65D 5/18;B65D 81/34,THE PROCTER & GAMBLE COMPANY,"BONO, James, Lee;TUCKER, Lewis, Alexander",NA
WO2000050318,01.09.2000,MICROWAVE PACKAGING WITH IMPROVED ORIENTATION FEATURE,"[09/255,212 22.02.1999 US]",B65D 5/18;B65D 81/34,THE PROCTER & GAMBLE COMPANY,"BONO, James, Lee;TUCKER, Lewis, Alexander",NA
US20040234653,26.11.2004,Susceptor tray and mirowavable dough products,[10443252 2003-05-22T23:59:59.000Z US],A23B 4/00;B65D 77/04;B65D 77/04;B65D 81/34;B65D 81/34,NA,Cogley Paul A.;Petrofsky Keith E.;Greiner Steven P.;Hewitt Amy L.;Tangprasertchai Uraiwan,NA
US5149594,23.09.1992,Method for cutting and positioning dough in a pan,[07521134 1990-05-09T23:59:59.000Z US],A21C 9/00;A21C 9/08;A21C 11/00;A21C 11/06;A21C 11/10,The Pillsbury Company,Lewandowski Daniel J.;Evans James R.;Jessup Randall D.,NA
US4798323,18.01.1989,Wedge shape carton and blank,NA,B65D 5/02;B65D 5/20;B65D 5/20,Crane Carton Company,Platt Ronald,NA
US4074917,22.02.1978,Pastry serving implement,NA,A47G 21/00;A47G 21/00;A47G 21/04;A47J 43/00;A47J 43/28,FEDERICO ARTHUR,Federico Arthur,NA
WO2009036489,27.03.2009,A BARBEQUE GRILL ASSEMBLY,[2007905189 21.09.2007 AU],A47J 37/07,"SHRIRO AUSTRALIA PTY LIMITED;LEAVENS, Benjamin, John;VEGA, Edgi, Eduardo, Yambao","LEAVENS, Benjamin, John;VEGA, Edgi, Eduardo, Yambao",NA
US6223979,02.05.2001,Crush-resisting paperboard clamshell carton,[09452583 1999-12-01T23:59:59.000Z US],B65D 5/22;B65D 5/64;B65D 5/66;B65D 85/30;B65D 85/36,CORRELL JOHN D.,"Correll, John D.",NA
US5872351,17.02.1999,Domed induction oven,NA,H05B 6/12;A21B 1/02;A21B 3/04;H05B 6/02;H05B 6/12,Taco Bell Corporation,Sowerby John C.,NA
US20080141867,20.06.2008,INTELLIGENT USER INTERFACE FOR MULTI-PURPOSE OVEN USING INFRARED HEATING FOR REDUCED COOKING TIME,"[10776028 2004-02-10T23:59:59.000Z US, 10815098 2004-03-31T23:59:59.000Z US, 11319050 2005-12-27T23:59:59.000Z US]",A47J 37/06;A47J 37/06;A21B 1/00;A21B 1/00;A21B 1/22;F27D 11/00;F27D 11/00,"Applica Consumer Products, Inc.",Cavada Luis;Vallejo-Noriega Alvaro;Vilbrandt Victoria,NA
US20100068321,19.03.2010,Low cost curved bottom food stamper,NA,A21C 11/00,Errera Richard Ben,Errera Richard Ben,NA
US20030206997,07.11.2003,Susceptor sleeve for food products,[10137853 2002-05-01T23:59:59.000Z US],A23B 4/00;B65D 5/02;B65D 5/02;B65D 5/42;B65D 5/42;B65D 81/34;B65D 81/34,"Schwan's Sales Enterprises, Inc.",Winkelman Michael D.;Lauen Stacey M.,NA
US20040146604,30.07.2004,Process for producing low fat cheese,"[60434008 2002-12-17T23:59:59.000Z US, 60434689 2002-12-18T23:59:59.000Z US]",A23C 9/12;A23C 19/00;A23C 19/032;A23C 19/04;A23C 19/068,"Novozymes A/S;Chr. Hansen A/S;Novozymes North America, Inc.",Madkor Sabry,NA
WO1997035942,03.10.1997,MICROWAVABLE THERMAL ENERGY STORAGE MATERIAL,"[08/623,401 28.03.1996 US]",A47J 36/28;B65D 81/34;C09K 5/06;F28D 20/02,THE UNIVERSITY OF DAYTON,"SALYER, Ival, O.",NA
WO2009058565,08.05.2009,COOKING APPARATUS WITH INFRARED HEATERS AND METHODS OF OPERATING THE APPARATUS,"[11/926,333 29.10.2007 US]",F24C 7/00;F24C 7/08,"APPLICA CONSUMER PRODUCTS, INC.;CAVADA, Luis O.;VALLEJO-NORIEGA, Alvaro;VILBRANDT, Victoria","CAVADA, Luis O.;VALLEJO-NORIEGA, Alvaro;VILBRANDT, Victoria",NA
WO1998028945,03.07.1998,DOMED INDUCTION OVEN,"[08/770,820 20.12.1996 US]",A21B 1/02;A21B 3/04;H05B 6/02;H05B 6/12,TACO BELL CORP.,"SOWERBY, John, C.",NA
US20100097880,23.04.2010,Turntable for on-demand mixing and distributing of a food product,NA,A21C 9/00,"Automatic Bar Controls, Inc.",Tuyls James M.;Jepson Antonio J.;Klotz Donald A.,NA
EP2319324,12.05.2011,Method for providing a layer of foodstuff on a base,[09175292 2009-11-06T23:59:59.000Z EP],A21C 9/04;A21C 9/08;A21C 15/00;A21D 13/00,TECH NIKKELS BV,NIKKELS HENK,NA
US20040062839,02.04.2004,Packing for use when cooking dough and food items in a microwave oven,[PA 2000 01719 2000-11-16T23:59:59.000Z DK],A23B 4/00;B65D 81/34;B65D 81/34,NA,Pedersen Steen,NA
US20110151055,24.06.2011,PROCESSED FOOD AND METHOD OF PRODUCING THE SAME,[2008-160840 2008-06-19T23:59:59.000Z JP],A23C 9/12,AJINOMOTO CO. INC;Amano Enzyme Inc.,MIWA Noriko;Ohashi Wakako,NA
US4890549,03.01.1990,Food handling device,NA,A47G 21/00;A47G 21/00,STEINER GREGORY;MATSUDA HARI,Steiner Gregory;Matsuda Hari,NA
EP2047751,16.04.2009,"Leavening cell structure, particularly for use together with ovens for baking food",[PS20070017U 2007-10-12T23:59:59.000Z IT],A21C 13/00,MORETTI FORNI S P A,MORETTI MARCO,NA
US20030112945,20.06.2003,System and method for indirect call completion using a personal identifier,[09040619 2001-12-19T23:59:59.000Z US],H04M 3/42;H04M 3/42;H04M 3/42;H04M 3/436,NA,Brown Wendell;Trenchard William J.,NA
US6500475,01.01.2003,Edible dough support,"[09544922 2000-04-07T23:59:59.000Z US, 60176241 2000-01-14T23:59:59.000Z US]",A21D 10/00;A21D 10/00;A21D 10/02;A21D 13/00;A21D 13/00,"Schwan's Sales Enterprises, Inc.","Kraklow, Harry K.;Alesch, Edward A.",NA
WO2012164281,07.12.2012,"MODULAR FOOD PREPARATION, COOKING, DINING, SERVING AND ENTERTAINMENT SYSTEM",[1109265.7 02.06.2011 GB],A47J 37/07,"SMITH, Wayne Anthony","SMITH, Wayne Anthony",NA
US20080264925,31.10.2008,Collapsible insulated food delivery bag,NA,A21B 1/00;A21B 1/52;B65D 33/00;B65D 33/00,CoverTex Corporation,Lockhart Edward A.;Ozechowsky Mervin S.,NA
US20080224577,19.09.2008,Apparatus for storing and dispensing a plurality of boxes,NA,A47F 5/08,WHITTY LARRY J,Whitty Larry J.,NA
US5551741,04.09.1996,Food handling tongs,[29022945 1994-05-16T23:59:59.000Z US],A47J 43/28;A47J 43/00;A47J 43/28,LABOCCETTA; ALFRED C.,LaBoccetta Alfred C.,NA
