"ipc_class","publication_number"
"A47: Furniture","CA2610236"
"A47: Furniture","KR100275553"
"B65: Conveying","KR1020020082435"
"A21: Baking","US20140335231"
"A21: Baking","EP0333778"
"A21: Baking","MXMXa2010001257"
"A21: Baking","US4606923"
"A21: Baking","US6325016"
"A47: Furniture","JP2006289036"
"A21: Baking","JP2010084955"
"A47: Furniture","CN101254076"
"A21: Baking","KR1020060062229"
"B26: Hand Cutting Tools","WO2011100144"
"A21: Baking","JP10099010"
"A21: Baking","JP2001327243"
"A21: Baking","JP11243845"
"B65: Conveying","US4765534"
"B65: Conveying","US5794999"
"B65: Conveying","KR1020130135579"
"A21: Baking","KR1020120129273"
"B65: Conveying","CA2044505"
"A47: Furniture","JP2002315680"
"A21: Baking","CA2088887"
"A21: Baking","KR101324901"
"A21: Baking","MXMXa2009009078"
"A21: Baking","KR1020000017796"
"A21: Baking","KR1020090126267"
"A21: Baking","EP2134183"
"A21: Baking","PT2134183"
"A47: Furniture","US20110214662"
"A21: Baking","US6672203"
"A23: Foods Or Foodstuffs","KR1020020032839"
"A21: Baking","WO2014002714"
"H05: Electric Techniques Not Otherwise Provided For","US20070158332"
"A23: Foods Or Foodstuffs","US20140328989"
"A21: Baking","JP2000004851"
"A21: Baking","JP11253091"
"A21: Baking","JP2008048649"
"A45: Hand Or Travelling Articles","JP2010194038"
"A47: Furniture","US20120244270"
"A21: Baking","JP2006304736"
"A21: Baking","JP2004008171"
"A21: Baking","KR1020100087910"
"B26: Hand Cutting Tools","KR1020060031765"
"A21: Baking","WO2001087073"
"G06: Computing","KR1020130036097"
"A47: Furniture","JP11089690"
"A21: Baking","JP2006121951"
"A21: Baking","JP2004267146"
"A21: Baking","KR101383093"
"B65: Conveying","US08033391"
"A21: Baking","DE000004416223"
"A23: Foods Or Foodstuffs","CN101453911"
"G06: Computing","US20050021407"
"A21: Baking","JP2003274844"
"G06: Computing","US20040133475"
"F24: Heating","KR1020050063946"
"A21: Baking","KR1020120117258"
"B65: Conveying","KR1020140039901"
"A21: Baking","EP0366738"
"A23: Foods Or Foodstuffs","KR100236403"
"A21: Baking","JP2001008612"
"B65: Conveying","US4848543"
"B26: Hand Cutting Tools","US20140099418"
"A21: Baking","US20070292565"
"A21: Baking","KR1020010038921"
"A21: Baking","KR1020090025730"
"A47: Furniture","EP1580145"
"B65: Conveying","WO1994012397"
"G01: Measuring","US6139889"
"A21: Baking","DE102005011504"
"A21: Baking","JP11243847"
"A21: Baking","WO2011020965"
"A21: Baking","WO2014087737"
"A21: Baking","JP2002247946"
"A47: Furniture","CN103505066"
"B65: Conveying","US5516036"
"A47: Furniture","KR1020120082966"
"A21: Baking","KR1020020076210"
"A21: Baking","KR1020060013144"
"F24: Heating","KR1020050121978"
"F24: Heating","KR1020050063945"
"A21: Baking","JP2000253801"
"A23: Foods Or Foodstuffs","JP2004357704"
"B65: Conveying","WO2001081200"
"A21: Baking","KR100802033"
"A21: Baking","US5686004"
"A21: Baking","KR1020020080082"
"A21: Baking","KR1020030014001"
"A21: Baking","KR1020030059767"
"A23: Foods Or Foodstuffs","KR1019970003294"
"A21: Baking","KR1020110026067"
"A21: Baking","KR1020120086991"
"A21: Baking","EP0683634"
"A47: Furniture","US5496987"
"B65: Conveying","CA2150145"
"A23: Foods Or Foodstuffs","JP2004033021"
"F24: Heating","EP1544546"
"F24: Heating","KR100789740"
"A21: Baking","JP2002253110"
"G06: Computing","US20040111321"
"A21: Baking","KR1020040052166"
"A21: Baking","EP1094714"
"B26: Hand Cutting Tools","US3639981"
"6","RU02095984"
"G06: Computing","US20070106568"
"A21: Baking","US3892171"
"A21: Baking","US20150056336"
"A21: Baking","RU02407300"
"A21: Baking","MXPAa2005008192"
"A21: Baking","MXPAa2001007421"
"A21: Baking","EP2467025"
"A23: Foods Or Foodstuffs","KR1019890004903"
"A21: Baking","JP2006296237"
"A21: Baking","JP2003235436"
"B65: Conveying","CN103879625"
"A21: Baking","JP11243837"
"B65: Conveying","CA2456274"
"B65: Conveying","JP2008155960"
"B65: Conveying","JP2001031164"
"A21: Baking","JP2002142732"
"A21: Baking","KR1020140042231"
"A21: Baking","JP2004154068"
"A21: Baking","WO2003096813"
"G07: Checking","KR100156071"
"A23: Foods Or Foodstuffs","KR1020020087255"
"A47: Furniture","EP2712296"
"A47: Furniture","US20020179697"
"B31: Making Paper Articles","US20140084046"
"A21: Baking","KR1020020044125"
"A21: Baking","KR1019930010882"
"A47: Furniture","KR1020050063970"
"A21: Baking","KR1020000019656"
"A21: Baking","KR1020090129892"
"A21: Baking","KR1020110108158"
"A47: Furniture","CA2488319"
"A21: Baking","KR1020110116725"
"A23: Foods Or Foodstuffs","JP2000139428"
"A21: Baking","JP2001188959"
"A21: Baking","JP2007259760"
"B26: Hand Cutting Tools","CN102814823"
"A23: Foods Or Foodstuffs","KR1019960010971"
"A21: Baking","JP10052372"
"A21: Baking","JP2000041568"
"A21: Baking","KR1020020045632"
"A21: Baking","KR1020000029544"
"A21: Baking","KR1020010018237"
"A23: Foods Or Foodstuffs","KR1020030003896"
"A21: Baking","KR1020030059986"
"B65: Conveying","EP0004027"
"A21: Baking","KR1020100018938"
"A21: Baking","KR1020120110892"
"A21: Baking","WO2000005967"
"A21: Baking","KR1020120097036"
"B65: Conveying","JP2000168759"
"A47: Furniture","WO1999056602"
"F24: Heating","KR1020070053567"
"A21: Baking","KR1020060006255"
"A23: Foods Or Foodstuffs","KR100140152"
"A23: Foods Or Foodstuffs","KR101146239"
"A21: Baking","KR1020120040464"
"A23: Foods Or Foodstuffs","KR100172101"
"A23: Foods Or Foodstuffs","KR1020130043418"
"A63: Sports","US6033286"
"F24: Heating","KR1020070053566"
"A21: Baking","KR1020090125671"
"B65: Conveying","EP0319493"
"A21: Baking","EP0152707"
"A21: Baking","KR1020020045590"
"A23: Foods Or Foodstuffs","KR1020100020588"
"A23: Foods Or Foodstuffs","KR1020040052277"
"A21: Baking","KR1020060062226"
"A21: Baking","CN101642150"
"A23: Foods Or Foodstuffs","JP2000210061"
"A21: Baking","CA2816174"
"A47: Furniture","CA2330287"
"G07: Checking","KR1020090100712"
"A21: Baking","KR1020110023010"
"B65: Conveying","WO2003035507"
"A21: Baking","EP1075202"
"A47: Furniture","US4640265"
"A23: Foods Or Foodstuffs","JP11239456"
"A23: Foods Or Foodstuffs","JP2005333883"
"A21: Baking","KR1020140041135"
"A21: Baking","JP2000253802"
"A21: Baking","JP2008113558"
"H05: Electric Techniques Not Otherwise Provided For","US5128522"
"A21: Baking","EP1517612"
"A21: Baking","KR1020020082826"
"B65: Conveying","WO2007100869"
"A47: Furniture","JP11216068"
"G01: Measuring","WO1998009149"
"A21: Baking","US3892868"
"A21: Baking","US3633450"
"A21: Baking","JP2008043247"
"A21: Baking","JP11032660"
"B65: Conveying","US20070199981"
"A21: Baking","EP1486138"
"A21: Baking","KR1020140018688"
"A21: Baking","WO2014051256"
"A21: Baking","KR1020040007359"
"A21: Baking","KR1020070043498"
"B65: Conveying","US4995557"
"A23: Foods Or Foodstuffs","US20120263847"
"B65: Conveying","EP1794067"
"A23: Foods Or Foodstuffs","RU0002444566"
"A21: Baking","EP1168927"
"B65: Conveying","US4373636"
"A21: Baking","JP2003180234"
"B65: Conveying","US20070199980"
"B31: Making Paper Articles","US20100237137"
"A21: Baking","KR1020090010845"
"B65: Conveying","KR1020050095080"
"G07: Checking","WO2011045662"
"B65: Conveying","DE000020318258"
"F24: Heating","KR1020050062794"
"B65: Conveying","KR100859816"
"A21: Baking","WO2007006820"
"A21: Baking","KR1020050112537"
"A21: Baking","JP11332489"
"A21: Baking","CN1934959"
"F24: Heating","KR1020050063969"
"B65: Conveying","KR1020130089498"
"A21: Baking","KR1020110023943"
"A21: Baking","JP2003102447"
"A23: Foods Or Foodstuffs","CN103907693"
"A21: Baking","WO2006100376"
"A21: Baking","WO1999008537"
"A21: Baking","US5069921"
"A21: Baking","KR1020030078980"
"A23: Foods Or Foodstuffs","KR1020030003836"
"A21: Baking","KR1020040058136"
"A21: Baking","EP0563413"
"A47: Furniture","EP0555176"
"A21: Baking","CA2241577"
"A47: Furniture","US20060191528"
"A23: Foods Or Foodstuffs","US5032412"
"A21: Baking","JP2002142661"
"A21: Baking","US3662677"
"A21: Baking","CN102232402"
"A21: Baking","CN101584359"
"A21: Baking","CN101720800"
"A21: Baking","EP0338995"
"A21: Baking","CA1158919"
"A21: Baking","KR1020110063124"
"A21: Baking","KR1020130093208"
"A21: Baking","KR1020000018970"
"A21: Baking","JP2006141318"
"A21: Baking","US3864071"
"A21: Baking","MXPAa1999000937"
"A21: Baking","CN1337852"
"A23: Foods Or Foodstuffs","KR100261046"
"A21: Baking","JP10257847"
"B26: Hand Cutting Tools","EP2098340"
"A23: Foods Or Foodstuffs","KR1020010070581"
"F24: Heating","KR1020050063843"
"B65: Conveying","KR101262823"
"A21: Baking","KR1020010016109"
"B31: Making Paper Articles","US20110319241"
"A21: Baking","JP2004267145"
"G06: Computing","KR1020060120920"
"A21: Baking","JP10276666"
"A21: Baking","JP2004141023"
"A23: Foods Or Foodstuffs","KR1020050112668"
"A21: Baking","JP2001045963"
"A21: Baking","EP0938263"
"A21: Baking","EP1868440"
"A21: Baking","MXPAa1999003644"
"A21: Baking","CA2857402"
"A21: Baking","EP2793591"
"A47: Furniture","US20150027432"
"A21: Baking","JP2000037177"
"A21: Baking","WO2012156560"
"B26: Hand Cutting Tools","DE000020216517"
"A21: Baking","KR1020060113033"
"A21: Baking","KR1020010045168"
"B65: Conveying","KR1020130039372"
"A21: Baking","KR1020120013541"
"A21: Baking","KR1020120020926"
"A21: Baking","US5962052"
"A21: Baking","KR1020130099481"
"B65: Conveying","EP1116668"
"A21: Baking","KR1020050089945"
"A21: Baking","WO2011140621"
"A21: Baking","KR1020090081515"
"A21: Baking","CA2089673"
"A47: Furniture","KR1020100026269"
"B26: Hand Cutting Tools","ZA199804456"
"A23: Foods Or Foodstuffs","JP2002119259"
"B26: Hand Cutting Tools","CN103659846"
"A45: Hand Or Travelling Articles","US7191902"
"A21: Baking","KR1020120057718"
"B65: Conveying","KR100892221"
"A21: Baking","US20100095887"
"A21: Baking","US20040009266"
"A21: Baking","US3760715"
"G07: Checking","KR1020090073320"
"A21: Baking","JP2000355372"
"A21: Baking","KR1020000068789"
"A21: Baking","KR1020030026298"
"A21: Baking","EP0584113"
"B65: Conveying","DE000019934722"
"A21: Baking","WO2010003334"
"A21: Baking","KR1020040062524"
"A21: Baking","KR101130924"
"A21: Baking","KR1020130050854"
"B65: Conveying","MXPAa2000006942"
"G07: Checking","EP1490847"
"A21: Baking","KR1020090052588"
"A21: Baking","KR1020040007354"
"A21: Baking","KR1020040095860"
"A21: Baking","JP2007185451"
"A21: Baking","CN1205173"
"A21: Baking","EP1094713"
"F24: Heating","KR100887754"
"A21: Baking","KR101103226"
"B65: Conveying","KR1020070109616"
"A47: Furniture","EP0425719"
"A21: Baking","JP2001245583"
"B65: Conveying","KR1020130030410"
"A21: Baking","KR1020000058508"
"A21: Baking","JP2009022233"
"A21: Baking","DE000004329038"
"A21: Baking","KR1020130106041"
"F24: Heating","KR1020050121979"
"B26: Hand Cutting Tools","US20090223068"
"A21: Baking","CA2205955"
"B65: Conveying","US20030015578"
"B65: Conveying","CN101027230"
"A23: Foods Or Foodstuffs","CN1136398"
"G07: Checking","US20060196883"
"A23: Foods Or Foodstuffs","KR100198253"
"A21: Baking","EP0379144"
"A21: Baking","EP0399269"
"A21: Baking","KR1020040063727"
"A21: Baking","KR1020090022796"
"B65: Conveying","DE000004036243"
"A21: Baking","JP11046673"
"A21: Baking","KR1020140039815"
"A21: Baking","KR1020010055381"
"A21: Baking","KR1020090121780"
"B65: Conveying","KR1020120120863"
"A21: Baking","KR1020120109134"
"B65: Conveying","KR1020050020551"
"B65: Conveying","US4877609"
"B65: Conveying","US4567341"
"A21: Baking","KR100793742"
"A21: Baking","EP2181600"
"A21: Baking","US20030041469"
"A01: Agriculture","US20050031740"
"A21: Baking","WO1998057547"
"A21: Baking","JP2006340634"
"A21: Baking","JP2008118874"
"A63: Sports","US5382027"
"A47: Furniture","US20100263556"
"A47: Furniture","JP11313769"
"A21: Baking","KR1020020065768"
"A21: Baking","KR1020060104967"
"A21: Baking","US20040250740"
"A21: Baking","US20040018291"
"A21: Baking","US20050276896"
"A23: Foods Or Foodstuffs","JP11169139"
"A21: Baking","US4079666"
"G07: Checking","DE000019945248"
"A21: Baking","EP2701519"
"B65: Conveying","WO1992019515"
"A21: Baking","US5378872"
"A21: Baking","CN1517025"
"A21: Baking","KR1020030003153"
"A23: Foods Or Foodstuffs","KR1020050043576"
"A21: Baking","CN103891856"
"A21: Baking","KR100866662"
"A23: Foods Or Foodstuffs","KR1020100000694"
"G07: Checking","KR100142445"
"A23: Foods Or Foodstuffs","DE102006034093"
"A47: Furniture","CA2790612"
"A23: Foods Or Foodstuffs","DE000010000773"
"A21: Baking","KR1020100012707"
"A21: Baking","WO1999037157"
"A21: Baking","KR1020130039924"
"B65: Conveying","WO2001050868"
"A21: Baking","DE000010044343"
"B26: Hand Cutting Tools","DE000020118453"
"A21: Baking","CN1243418"
"A47: Furniture","JP2000070159"
"A47: Furniture","US4806736"
"B65: Conveying","US20060208046"
"A21: Baking","WO1992020234"
"B31: Making Paper Articles","US20140299657"
"A21: Baking","EP0409758"
"F24: Heating","CA2153738"
"B65: Conveying","PT2094572"
"G07: Checking","WO2004023408"
"A47: Furniture","CA2075744"
"A21: Baking","EP0171501"
"A47: Furniture","CN103505065"
"F24: Heating","KR1020060062216"
"A23: Foods Or Foodstuffs","CN103960746"
"A21: Baking","KR1020080085238"
"A21: Baking","EP1049379"
"A21: Baking","WO2006065265"
"A47: Furniture","WO2001093735"
"A23: Foods Or Foodstuffs","JP2000157230"
"A21: Baking","JP2005021417"
"A21: Baking","EP1429616"
"A23: Foods Or Foodstuffs","KR1020090085459"
"B65: Conveying","KR1020100012711"
"A21: Baking","KR1020110119462"
"A23: Foods Or Foodstuffs","KR1020110121192"
"A23: Foods Or Foodstuffs","KR1020110121442"
"A23: Foods Or Foodstuffs","KR1020120027064"
"A21: Baking","KR1020020090187"
"A21: Baking","KR1020110113978"
"A21: Baking","KR1020030097747"
"B65: Conveying","DE000019918602"
"A21: Baking","KR1020130087744"
"A21: Baking","KR1020060119348"
"A21: Baking","CN103402363"
"A47: Furniture","US5165171"
"B65: Conveying","WO2013065012"
"A23: Foods Or Foodstuffs","KR1020130001416"
"A21: Baking","JP2010088356"
"A47: Furniture","EP0740517"
"A23: Foods Or Foodstuffs","CA2056618"
"B65: Conveying","KR1020080029724"
"A21: Baking","EP0708421"
"F24: Heating","KR1020050121980"
"A21: Baking","WO2014193417"
"B65: Conveying","JP2006327686"
"A21: Baking","KR100793731"
"A21: Baking","DE102005025158"
"A47: Furniture","EP1289396"
"A21: Baking","KR1020070101186"
"B65: Conveying","KR1020140049235"
"B65: Conveying","KR1020010015351"
"A21: Baking","KR1020030087752"
"A23: Foods Or Foodstuffs","KR1020060037544"
"A47: Furniture","US4816646"
"A21: Baking","KR1020050010617"
"A21: Baking","KR1020060127764"
"A21: Baking","US20070017383"
"A21: Baking","WO2014116125"
"A21: Baking","US20050236387"
"F24: Heating","KR1020050063944"
"A21: Baking","DE000010226126"
"A21: Baking","WO2007138620"
"A21: Baking","KR1020070014615"
"A21: Baking","JP2002262759"
"A47: Furniture","CN1280946"
"F16: Engineering Elements Or Units","US20130240689"
"A21: Baking","JP2002010731"
"A21: Baking","US5315922"
"B65: Conveying","CA2352815"
"B65: Conveying","US6109512"
"A21: Baking","DE000010333283"
"A21: Baking","KR1020080011297"
"G07: Checking","KR100142446"
"A21: Baking","KR1020050030978"
"A21: Baking","KR1020050062169"
"A21: Baking","KR1020020077992"
"A23: Foods Or Foodstuffs","KR1020030011137"
"B65: Conveying","CA1282751"
"A23: Foods Or Foodstuffs","KR1020050008472"
"A21: Baking","EP1188380"
"A21: Baking","CA2318016"
"A23: Foods Or Foodstuffs","KR1020110073859"
"A21: Baking","KR1020120018514"
"A21: Baking","KR1020020093681"
"A21: Baking","KR1020020090186"
"A23: Foods Or Foodstuffs","KR1020060037546"
"A23: Foods Or Foodstuffs","KR1020120055984"
"A21: Baking","WO1999041988"
"A21: Baking","KR1020050041814"
"A21: Baking","CA1100374"
"A21: Baking","KR1020080006419"
"A47: Furniture","CA2717155"
"B65: Conveying","US4960238"
"A21: Baking","KR1020080071757"
"A21: Baking","KR1020110074043"
"A21: Baking","KR1020050103119"
"A21: Baking","KR1020070037557"
"A21: Baking","US20040241300"
"A47: Furniture","DE000020303266"
"A21: Baking","EP1165399"
"A23: Foods Or Foodstuffs","US5380543"
"F27: Furnaces","US20070000904"
"A21: Baking","EP0761098"
"A47: Furniture","WO2011102915"
"B65: Conveying","US20040151811"
"A21: Baking","EP1056344"
"B65: Conveying","ZA200104500"
"A47: Furniture","EP1634522"
"A23: Foods Or Foodstuffs","KR1020050095681"
"A23: Foods Or Foodstuffs","KR1020050031823"
"6","RU02082297"
"A21: Baking","US5640897"
"B65: Conveying","EP1623929"
"A23: Foods Or Foodstuffs","KR1020060117856"
"A21: Baking","JP11032662"
"A23: Foods Or Foodstuffs","JP2002354995"
"A21: Baking","CN101163406"
"B65: Conveying","DE000020114007"
"A21: Baking","WO2003000059"
"A21: Baking","EP0787431"
"A47: Furniture","WO1990014991"
"A21: Baking","US5503860"
"A21: Baking","DE000020220033"
"A21: Baking","CA2191154"
"G07: Checking","KR100153700"
"A21: Baking","KR1020130075110"
"A23: Foods Or Foodstuffs","KR1020040082630"
"A47: Furniture","US20120210841"
"A21: Baking","JP2005124435"
"A21: Baking","CA2191166"
"A21: Baking","US20040161512"
"A23: Foods Or Foodstuffs","US5206045"
"A47: Furniture","JP2006023066"
"A21: Baking","CA1190436"
"B65: Conveying","DE102006016619"
"A21: Baking","CA1331850"
"A21: Baking","WO2000057710"
"A0J: Agriculture","US6479087"
"A21: Baking","EP1397046"
"B65: Conveying","KR1020120126584"
"A21: Baking","KR101238288"
"A47: Furniture","DE000019646695"
"A47: Furniture","WO2009114759"
"A21: Baking","US20060127556"
"A23: Foods Or Foodstuffs","KR1020090006027"
"A21: Baking","KR1020130008226"
"B65: Conveying","US3650383"
"A47: Furniture","US3398264"
"A21: Baking","US3286573"
"G06: Computing","US7178146"
"A21: Baking","US20140311355"
"B26: Hand Cutting Tools","DE102005020346"
"A23: Foods Or Foodstuffs","KR1020060037543"
"B65: Conveying","US20030066831"
"H05: Electric Techniques Not Otherwise Provided For","US20070125772"
"A47: Furniture","US20140091096"
"A21: Baking","US20030203092"
"A21: Baking","US20100233324"
"A23: Foods Or Foodstuffs","KR1020080014407"
"A23: Foods Or Foodstuffs","JP11192062"
"A21: Baking","JP10117673"
"A47: Furniture","JP2001063761"
"A21: Baking","EP0319221"
"A21: Baking","US20040161521"
"A47: Furniture","US20100282761"
"A21: Baking","EP1164854"
"A47: Furniture","KR1020120136447"
"A23: Foods Or Foodstuffs","KR1020080078269"
"A21: Baking","KR1020080033657"
"A21: Baking","KR1020040098901"
"B6B: Conveying","US4528802"
"B65: Conveying","US4376558"
"B65: Conveying","EP1984263"
"A21: Baking","ZA199409139"
"A21: Baking","IL219036"
"B65: Conveying","IL210663"
"A21: Baking","CA892506"
"A21: Baking","CA1276085"
"A47: Furniture","WO2007122326"
"A23: Foods Or Foodstuffs","KR1020050017563"
"F24: Heating","KR1020050061702"
"A21: Baking","US4944596"
"F24: Heating","KR1020070025775"
"A23: Foods Or Foodstuffs","KR101315240"
"A21: Baking","KR1020060116660"
"B31: Making Paper Articles","US20100108750"
"A21: Baking","DE102006007379"
"B65: Conveying","CA2104731"
"A21: Baking","US3987719"
"B65: Conveying","DE000010010789"
"A21: Baking","DE102006007673"
"A23: Foods Or Foodstuffs","US6004602"
"A21: Baking","CA1323525"
"A21: Baking","CN101179940"
