applicants_organisations_only, applicants_use_me, cited_count, cpc_codes_useme, dois, extended_family_size, inventors_useme, ipc_codes, ipc_short, ipc_subclass, non_patent_citations, priority_country_code, priority_country_name, priority_numbers, priority_year, publication_country_code, publication_country_name, publication_date, publication_number, publication_year, title, title_phrases, url
"","ANDERSON STEPHEN RAYMOND","0","B29C67/0088; B33Y50/02; G05B2219/49023","","1","ANDERSON STEPHEN RAYMOND","B29C67/00; G05B19/4099","Working Plastics; Control Systems","B29C: Performing Operations; Transporting -> Working Of Plastics; Working Of Substances In A Plastic State In General -> Shaping Or Joining Of Plastics; Shaping Of Substances In A Plastic State, In General; After-Treatment Of The Shaped Products, E.G. Repairing; G05B: Physics -> Controlling; Regulating -> Control Or Regulating Systems In General; Functional Elements Of Such Systems; Monitoring Or Testing Arrangements For Such Systems Or Elements","","US","United States of America","US 201462029404 P","2014","US","United States of America","2016-1-28","US 2016/0023404 A1","2016","Three-dimensional Manufacturing, Fabricating, Forming, And/or Repairing Apparatus And Method","three-dimensional Manufacturing","https://lens.org/126-587-398-838-182"
"","VERMA PRAMOD KUMAR","0","G06F3/017; G06F3/0304","","1","VERMA PRAMOD KUMAR","G06F3/01; G06F3/03; G06F3/16; G06T19/00","Computing","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","","US","United States of America","US 201462030734 P","2014","US","United States of America","2016-2-11","US 2016/0041628 A1","2016","Flying User Interface","flying User Interface","https://lens.org/054-165-535-120-24X"
"INTELLIGENT FUSION TECHNOLOGY INC","INTELLIGENT FUSION TECHNOLOGY INC","0","A63F13/56; A63F13/573; B25J9/161; B25J9/163; B25J9/1697; G06T2207/10032; G06T2207/30204; G06T2207/30236; G06T7/0044; G06T7/204; G06T7/2053; Y10S901/01","","1","BLASCH ERIK; CHEN GENSHE; LING HAIBIN; PHAM KHANH D; SHEN DAN","A63F9/00; B25J13/00; B25J19/02; B25J5/00; B25J9/16","Sports; Tools","A63F: Human Necessities -> Sports; Games; Amusements -> Card, Board Or Roulette Games; Indoor Games Using Small Moving Playing Bodies; Video Games; Games Not Otherwise Provided For; B25J: Performing Operations; Transporting -> Hand Tools; Portable Power-Driven Tools; Handles For Hand Implements; Workshop Equipment; Manipulators -> Manipulators; Chambers Provided With Manipulation Devices","","US","United States of America","US 201414529153 A","2014","US","United States of America","2016-5-5","US 2016/0121204 A1","2016","Methods And Devices For Demonstrating Three-player Pursuit-evasion Game","Three-player Pursuit-evasion Game","https://lens.org/115-313-654-463-934"
"YAMAHA CORP","YAMAHA CORP","0","","","1","SHIOZAWA YASUO","H04R1/28","Loudspeakers/Microphones","H04R: Electricity -> Electric Communication Technique -> Loudspeakers, Microphones, Gramophone Pick-Ups Or Like Acoustic Electromechanical Transducers; Deaf-Aid Sets; Public Address Systems","","JP","Japan","JP 2012168941 A","2012","JP","Japan","2014-2-6","JP 2014027634 A","2014","Sounding Device","sounding Device","https://lens.org/091-407-092-474-233"
"IP SERVICE KK","IP SERVICE KK","0","","","1","TOMINAGA TOMOKAZU","A01K47/06; A01K59/00; A01K59/04","Agriculture","A01K: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Animal Husbandry; Care Of Birds, Fishes, Insects; Fishing; Rearing Or Breeding Animals, Not Otherwise Provided For; New Breeds Of Animals","","JP","Japan","JP 2010208021 A","2010","JP","Japan","2012-3-29","JP 2012060932 A","2012","Method For Collecting Honey Only For Japanese Honeybees","Collecting Honey; Japanese Honeybees","https://lens.org/022-616-638-617-565"
"","","0","","","1","ê¹€ë„ìœ; ë°•ì„±ê; ì´ì¢…í; ì²œì¤€í; ì˜¤ë‹¤ì; í™©ì¸ê·œ","B64C27/08; B64C39/02; B64D47/08; B64F1/00; E01F3/00; G06Q50/10","Aircraft; Road Construction; Computing","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64D: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft; B64F: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For; E01F: Fixed Constructions -> Construction Of Roads, Railways, Or Bridges -> Additional Work, Such As Equipping Roads Or The Construction Of Platforms, Helicopter Landing Stages, Signs, Snow Fences, Or The Like; G06Q: Physics -> Computing; Calculating; Counting -> Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For","","KR","Republic of Korea","KR 20160022071 A","2016","KR","Republic of Korea","2016-6-1","KR 101625630 B1","2016","Position Location System That Can Display The Specific Location Of The Photographed Image Taken By The Drone Map","Drone Map; position Location System; Specific Location","https://lens.org/187-915-334-859-833"
"","","0","","","1","ê¹€ê·œì; ê¹€ë•ìš; ë°•ê°‘ì; ë°•ìž¥ì; ë°•í•™ì; ì´ê·¼í","A01M29/10; A01M29/16; G08B13/196; H04N7/18","Agriculture; Signalling; Electric Communication/Television","A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants; G08B: Physics -> Signalling -> Signalling Or Calling Systems; Order Telegraphs; Alarm Systems; H04N: Electricity -> Electric Communication Technique -> Pictorial Communication, E.G. Television","","KR","Republic of Korea","KR 20140172622 A","2014","KR","Republic of Korea","2016-6-14","KR 20160067351 A","2016","Surveillance System Using Drone","surveillance System","https://lens.org/154-424-726-308-877"
"LILY ROBOTICS INC","LILY ROBOTICS INC","0","","","1","BALARESQUE ANTOINE; BRADLOW HENRY W; ENGLIN ROBERT N","","","","","US","United States of America","US 201429506277 F","2014","US","United States of America","2016-7-5","US D760624 S1","2016","Autonomous Drone","autonomous Drone","https://lens.org/188-065-356-563-644"
"","FRYSHMAN BERNARD","0","A01M1/026; A01M1/06; A01M1/14; A01M1/2094; A01M1/22; A01M3/005; A01M3/007; A01M5/02; A01M5/04; A01M99/00; B25J5/00; B25J5/02; B25J9/1612; B25J9/1679; B25J9/1697; G06K2209/17; G06K9/00; G06T2207/10024; G06T2207/10056; G06T2207/30128; G06T7/0004; G06T7/0008; H04N5/2252; H04N7/185; Y10S901/01; Y10S901/09","","3","FRYSHMAN BERNARD","A01M5/02; A01M99/00; B25J5/00; B25J5/02; B25J9/16; G06K9/00; G06T7/00; H04N5/225; H04N7/18","Agriculture; Tools; Computing; Electric Communication/Television","A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants; B25J: Performing Operations; Transporting -> Hand Tools; Portable Power-Driven Tools; Handles For Hand Implements; Workshop Equipment; Manipulators -> Manipulators; Chambers Provided With Manipulation Devices; G06K: Physics -> Computing; Calculating; Counting -> Recognition Of Data; Presentation Of Data; Record Carriers; Handling Record Carriers; G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General; H04N: Electricity -> Electric Communication Technique -> Pictorial Communication, E.G. Television","","US","United States of America","US 201414505430 A; US 201462087049 P; US 201514733044 A","2014; 2015","US","United States of America","2016-7-5","US 9381646 B1","2016","Insect And Other Small Object Image Recognition And Instant Active Response With Enhanced Application And Utility","Enhanced Application; Instant Active Response; Small Object Image Recognition","https://lens.org/003-293-885-082-737"
"PARROT","PARROT","0","A63H23/14; A63H27/12; B64C2201/024; B64C2201/108; B64C2201/126; B64C2201/18; B64C25/36; B64C25/54; B64C37/00; B64C39/02; B64C39/024","","5","BENATAR YONI; FARGEAU KARIM; LAVAGEN GAUTHIER","A63H27/32; B64C25/54; B64C39/02","Sports; Aircraft","A63H: Human Necessities -> Sports; Games; Amusements -> Toys, E.G. Tops, Dolls, Hoops, Building Blocks; B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","","FR","France","FR 1463075 A","2014","FR","France","2016-6-24","FR 3030451 A1","2016","Accessoire Pour Rendre Un Drone Amphibie","Rendre Un Drone Amphibie","https://lens.org/099-440-487-114-780"
"OBSHESTVO S OGRANICHENNOJ OTVETSTVENNOSTJU PARAFARM","OBSHESTVO S OGRANICHENNOJ OTVETSTVENNOSTJU PARAFARM","0","A61K35/64; A61K47/26","","10","BURMISTROVA LILIA ALEXANDROVNA; ELISTRATOV KONSTANTIN GENNADIEVICH; ELISTRATOVA JULIA ANATOLJEVNA; ELISTRATOVA TATYANA VIKTOROVNA; HOMYKOVA IRINA VLADIMIROVNA; KURUS NATALIA VYACHESLAVOVNA; TRIFONOV VYACHESLAV NIKOLAEVICH","A61K31/7004; A61K31/7016; A61K35/64","Medical","A61K: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Preparations For Medical, Dental, Or Toilet Purposes","","RU","Russian Federation","RU 2011137992 A","2011","CN","China","2014-6-4","CN 103841984 A","2014","Method For Preparing An Adsorbed Drone Brood And The Composition Thereof","Adsorbed Drone Brood","https://lens.org/040-186-086-829-193"
"CATERPILLAR INC","CATERPILLAR INC","0","A01B69/008; B64C2201/127; B64C39/024; E02F3/425; G05D1/0011","","1","ADRIAN PAUL FORRESTER; ANAND M VARU; BENJAMIN J HANKS","A01B69/00; B64C39/02; E02F3/28; E02F3/42; G05D1/00","Agriculture; Aircraft; Hydraulic Engineering; Control Systems","A01B: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Soil Working In Agriculture Or Forestry; Parts, Details, Or Accessories Of Agricultural Machines Or Implements, In General; B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; E02F: Fixed Constructions -> Hydraulic Engineering; Foundations; Soil-Shifting -> Dredging; Soil-Shifting; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables","","GB","United Kingdom","GB 201422065 A","2014","GB","United Kingdom","2016-6-15","GB 2533140 A","2016","Drone","","https://lens.org/139-131-972-054-70X"
"UBIQOMM LLC","UBIQOMM LLC","0","B64C39/00; H04B7/18504; H04L1/00; H04L5/00; H04L5/006; H04L5/0071; H04L5/0078; H04L5/0094; H04L5/0096; H04W28/048; H04W52/04; H04W52/143; H04W52/241; H04W74/00","","2","JALALI AHMAD","H04B7/00","Electric Communication/Television","H04B: Electricity -> Electric Communication Technique -> Transmission","","US","United States of America","US 201461981128 P","2014","WO","WIPO (PCT)","2015-10-22","WO 2015/161083 A1","2015","Methods And Apparatus For Mitigating Fading In A Broadband Access System Using Drone/uav Platforms","Broadband Access System; Drone/uav Platforms; Mitigating Fading","https://lens.org/135-503-517-401-81X"
"GEOLA TECHNOLOGIES LTD","GEOLA TECHNOLOGIES LTD","0","B64C2201/066; B64F1/00; Y02T10/7005","","4","","B64F1/00","Aircraft","B64F: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For","","GB","United Kingdom","GB 201409654 A","2014","DE","Germany","2015-10-28","DE 202015102833 U1","2015","Lade- Und Wiederbereitstellungsstation FÃ¼r Elektro- Und Hybrid Uavs","lade- Und Wiederbereitstellungsstation FÃ¼r Elektro- Und Hybrid Uavs","https://lens.org/138-526-817-444-441"
"","HOLCOMB JEFFREY W","1","G06K9/00201; G06K9/00369; G06K9/468; G06T13/40","","1","HOLCOMB JEFFREY W","G06T17/20","Computing","G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","","US","United States of America","US 201313858122 A","2013","US","United States of America","2014-10-9","US 2014/0300597 A1","2014","Method For The Automated Identification Of Real World Objects","Automated Identification; Real World Objects","https://lens.org/138-086-941-954-805"
"","DANIELS JOHN JAMES","3","A61M2021/0016; A61M2021/0022; A61M2021/0027; A61M2021/005; A61M2021/0072; A61M2021/0077; A61M21/00; A61M21/0094; A61M2205/507; A61M2210/0612; A61M2210/0662; A61M2210/083; A61M2210/086; G06F3/014; G09B15/00; G09B15/003; G09B15/06; G09B19/00; G09B19/003; G09B19/0038; G09B19/22; G09B21/00; G09B5/065; G09B9/00; G09B9/003; G09B9/06; G09B9/063; G09B9/08; G09B9/52; G10H1/18","","2","DANIELS JOHN JAMES","A61M21/00; G09B15/00; G09B19/00; G09B19/22; G09B5/06; G09B9/00; G09B9/06; G09B9/08; G09B9/52","Medical; Signs, Advertising","A61M: Human Necessities -> Medical Or Veterinary Science; Hygiene -> Devices For Introducing Media Into, Or Onto, The Body; Devices For Transducing Body Media Or For Taking Media From The Body; Devices For Producing Or Ending Sleep Or Stupor; G09B: Physics -> Educating; Cryptography; Display; Advertising; Seals -> Educational Or Demonstration Appliances; Appliances For Teaching, Or Communicating With, The Blind, Deaf Or Mute; Models; Planetaria; Globes; Maps; Diagrams","","US","United States of America","US 201361818971 P; US 201414269133 A","2013; 2014","US","United States of America","2015-11-5","US 2015/0317910 A1","2015","Accelerated Learning, Entertainment And Cognitive Therapy Using Augmented Reality Comprising Combined Haptic, Auditory, And Visual Stimulation","accelerated Learning; Augmented Reality Comprising Combined; Cognitive Therapy; Visual Stimulation","https://lens.org/186-337-222-953-165"
"","DAGENHART WILLIAM KELLY","0","A62C3/025","","1","DAGENHART WILLIAM KELLY","A62C3/02; A62C37/36","Fire-Fighting/Life-Saving","A62C: Human Necessities -> Life-Saving; Fire-Fighting -> Fire-Fighting","","US","United States of America","US 201462052605 P","2014","US","United States of America","2016-3-24","US 2016/0082298 A1","2016","Forest Fire Control System","forest Fire Control System","https://lens.org/124-192-162-521-163"
"ACT LIGHTING DESIGN; PUY DU FOU INTERNAT","ACT LIGHTING DESIGN; PUY DU FOU INTERNAT","0","B64C2201/027; B64C2201/042; B64C2201/108; B64C39/04","","1","BUYS KOEN; MEEUS KOBE","B64C39/04","Aircraft","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters","ANONYMOUS: ""SteadiDrone QU4D Ultra - A quick look - DIY Drones"", 16 September 2012 (2012-09-16), XP055148252, Retrieved from the Internet <URL:http://diydrones.com/profiles/blogs/steadidrone-qu4d-ultra-a-quick-look> [retrieved on 20141022];;None","EP","European Patent Office","EP 14305576 A","2014","EP","European Patent Office","2015-10-21","EP 2933189 A1","2015","Motormount For A Flying Drone Apparatus","Flying Drone Apparatus","https://lens.org/026-403-408-190-822"
"","KATAEV ANATOLIJ ALEKSANDROVICH","0","","","1","KATAEV ANATOLIJ ALEKSANDROVICH","B63B35/00; B63G8/00","Waterborne Vessels/Ships","B63B: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Ships Or Other Waterborne Vessels; Equipment For Shipping; B63G: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Offensive Or Defensive Arrangements On Vessels; Mine-Laying; Mine-Sweeping; Submarines; Aircraft Carriers","","RU","Russian Federation","RU 2014146589 A","2014","RU","Russian Federation","2016-5-27","RU 2585110 C1","2016","Transformer Platform","transformer Platform","https://lens.org/042-376-797-644-267"
"","ZAMMOEV ASLAN UZEIROVICH","0","","","1","ZAMMOEV ASLAN UZEIROVICH","A01M7/00","Agriculture","A01M: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Catching, Trapping Or Scaring Of Animals; Apparatus For The Destruction Of Noxious Animals Or Noxious Plants","","RU","Russian Federation","RU 2015112506 A","2015","RU","Russian Federation","2016-6-10","RU 2586142 C1","2016","Robotic System For Automated Aircraft Plant Chemical Treatment And Application Method Thereof","Application Method; Automated Aircraft Plant Chemical Treatment; robotic System","https://lens.org/105-576-961-428-751"
"","THOMPSON LYLE","0","G05D1/0094; G06T7/00; H04N13/00; H04N7/185","","1","THOMPSON LYLE","B64C39/02; G05D1/08; G05D13/62; G06F17/50; H04N7/18","Aircraft; Control Systems; Computing; Electric Communication/Television","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables; G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; H04N: Electricity -> Electric Communication Technique -> Pictorial Communication, E.G. Television","","US","United States of America","US 201462072297 P","2014","US","United States of America","2016-5-5","US 2016/0124435 A1","2016","3d Scanning And Imaging Method Utilizing A Self-actuating Compact Unmanned Aerial Device","Imaging Method; Self-actuating Compact Unmanned Aerial Device","https://lens.org/116-560-843-931-332"
"GEN ELECTRIC","GEN ELECTRIC","0","B61K9/10; B61L15/0081; B61L23/044; B61L27/0088; B61L27/0094","","233","FAHMY SAMEH","B61L15/00; B61L27/00","Railways","B61L: Performing Operations; Transporting -> Railways -> Guiding Railway Traffic; Ensuring The Safety Of Railway Traffic","","US","United States of America","US 201261681843 P; US 201261729188 P; US 201361860469 P; US 201361860496 P; US 201514922787 A; US 201615044592 A; US 38535406 A; US 57314109 A","2006; 2009; 2012; 2013; 2015; 2016","US","United States of America","2016-6-9","US 2016/0159381 A1","2016","Vehicle Control System And Method","vehicle Control System","https://lens.org/147-395-570-395-172"
"ELWHA LLC","ELWHA LLC","0","A63F13/285; F41H13/00; G06F1/163; G06F3/011; G06F3/016; G06F3/041; G06T19/006; G08B21/02","","6","HANNIGAN RUSSELL J; HYDE RODERICK A; ISHIKAWA MURIEL Y; JOHANSON 3RIC; KARE JORDIN T; PAN TONY S; TEGREENE CLARENCE T; WHITMER CHARLES; WOOD JR LOWELL L; WOOD VICTORIA Y H","F41H13/00; G08B21/02","Weapons; Signalling","F41H: Mechanical Engineering; Lighting; Heating; Weapons; Blasting -> Weapons -> Armour; Armoured Turrets; Armoured Or Armed Vehicles; Means Of Attack Or Defence, E.G. Camouflage, In General; G08B: Physics -> Signalling -> Signalling Or Calling Systems; Order Telegraphs; Alarm Systems","","US","United States of America","US 201462090751 P; US 201514746454 A","2014; 2015","US","United States of America","2016-6-16","US 2016/0169635 A1","2016","Centralized System Proving Notification Of Incoming Projectiles","centralized System Proving Notification; Incoming Projectiles","https://lens.org/176-437-508-771-012"
"AIRMAP INC","AIRMAP INC","0","B64C2201/123; B64C2201/141; B64C39/024; G08G5/0034","","3","MARCUS BENJAMIN DANIEL","B64C39/02; G08G5/00","Aircraft; Signalling","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; G08G: Physics -> Signalling -> Traffic Control Systems","","US","United States of America","US 201462098968 P","2014","US","United States of America","2016-6-30","US 2016/0189549 A1","2016","System And Method For Controlling Autonomous Flying Vehicle Flight Paths","Controlling Autonomous Flying Vehicle Flight Paths","https://lens.org/109-863-915-804-303"
"LG ELECTRONICS INC","LG ELECTRONICS INC","0","G06F3/041; H04N5/23203; H04N5/23222; H04W4/02","","3","BAE HYEJIN; LEE KYUNGHA; YANG JEONGHWA","G06F3/041; H04N5/232; H04W4/02","Computing; Electric Communication/Television; Wireless Communication Networks","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; H04N: Electricity -> Electric Communication Technique -> Pictorial Communication, E.G. Television; H04W: Electricity -> Electric Communication Technique -> Wireless Communication Networks","","KR","Republic of Korea","KR 20140191909 A","2014","US","United States of America","2016-6-30","US 2016/0191793 A1","2016","Mobile Device And Method For Controlling The Same","Mobile Device","https://lens.org/174-493-006-852-326"
"","BRUTOCO RINALDO","0","B64B1/00; B64B1/06; B64B1/12; B64B1/20; B64B1/32; B64B1/62; B64B1/66; B64F1/02; F42B15/00; Y10T137/6906","","8","BRUTOCO RINALDO","B64B1/06","Aircraft","B64B: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Lighter-Than-Air Aircraft","","US","United States of America","US 29045308 A","2008","WO","WIPO (PCT)","2010-5-6","WO 2010/051088 A1","2010","Apparatus And Method For Widespread Commercialization Of Hydrogen As An Alternative Fuel Source","Alternative Fuel Source; Widespread Commercialization","https://lens.org/010-154-607-780-520"
"","JOHNSON GREGORY WALKER","0","G06F17/30017; G06F3/167; G10L15/00; H04M1/72522; H04M1/72547","","2","JOHNSON GREGORY WALKER","G06F3/16; H04M1/725","Computing; Electric Communication/Television","G06F: Physics -> Computing; Calculating; Counting -> Electric Digital Data Processing; H04M: Electricity -> Electric Communication Technique -> Telephonic Communication","","US","United States of America","US 201514545605 A; US 32231009 A","2009; 2015","US","United States of America","2015-12-24","US 2015/0370533 A1","2015","Solar Tablet Verbal","solar Tablet Verbal","https://lens.org/128-240-252-892-995"
"UNIV MISSOURI","UNIV MISSOURI","0","A01C21/007; G06K9/0063; G06K9/00657; G06Q10/04; G06Q10/06315; G06Q50/02; G06T2207/10024; G06T2207/10036; G06T2207/30188; G06T7/408","","7","HUBBARD VICTORIA CACNIO; SCHARF PETER CLIFTON","A01C21/00; G06K9/00; G06Q10/04; G06Q50/02; G06T7/40","Agriculture; Computing","A01C: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Planting; Sowing; Fertilising; G06K: Physics -> Computing; Calculating; Counting -> Recognition Of Data; Presentation Of Data; Record Carriers; Handling Record Carriers; G06Q: Physics -> Computing; Calculating; Counting -> Data Processing Systems Or Methods, Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes; Systems Or Methods Specially Adapted For Administrative, Commercial, Financial, Managerial, Supervisory Or Forecasting Purposes, Not Otherwise Provided For; G06T: Physics -> Computing; Calculating; Counting -> Image Data Processing Or Generation, In General","","US","United States of America","US 201313959144 A; US 201514886712 A; US 85724206 P","2006; 2013; 2015","US","United States of America","2016-2-11","US 2016/0042232 A1","2016","Method Of Predicting Crop Yield Loss Due To N-deficiency","Crop Yield Loss","https://lens.org/076-917-721-557-32X"
"","HESS KEVIN","0","B64C2201/127; B64C2201/148; B64C39/022; B64C39/024; B64F3/02; G08G5/0013","","1","HESS KEVIN","B64C39/02; B64F3/02; G08G5/00","Aircraft; Signalling","B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; B64F: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For; G08G: Physics -> Signalling -> Traffic Control Systems","","US","United States of America","US 201462052289 P; US 201462052946 P","2014","US","United States of America","2016-3-24","US 2016/0083115 A1","2016","Apparatus And Methods For Tethered Aerial Platform And System","Tethered Aerial Platform","https://lens.org/048-404-089-542-36X"
"BAE","BAE","0","G01J1/0219; G01J1/18; G01J1/4228; G01J2001/4247","","1","MERCIER MICHAEL N; SCHLUPF JOSEPH M","G01J1/18; G01J1/42","Measuring","G01J: Physics -> Measuring; Testing -> Measurement Of Intensity, Velocity, Spectral Content, Polarisation, Phase Or Pulse Characteristics Of Infra-Red, Visible Or Ultra-Violet Light; Colorimetry; Radiation Pyrometry","","US","United States of America","US 201462066428 P","2014","US","United States of America","2016-4-21","US 2016/0109288 A1","2016","Optical Correlation For Detection Of Point Source Objects","optical Correlation; Point Source Objects","https://lens.org/040-817-772-117-661"
"","ZHOU ANDREW H B; ZHOU DYLAN T X; ZHOU TIGER T G","3","B60F3/0007; B60F3/0061; B60F5/02; B63G2008/004; B63G8/001; B63G8/16; B64C2201/021; B64C2201/024; B64C2201/042; B64C2201/066; B64C2201/102; B64C2201/108; B64C2201/127; B64C2201/141; B64C2201/162; B64C2201/165; B64C29/0033; B64C35/008; B64C39/024; G01S19/39; G05D1/0088; G05D1/042; G05D1/048; G06Q20/3274; G06Q20/367; G08G3/02; G08G5/045; H04N5/23238; H04N5/265; H04N7/181","","103","ZHOU ANDREW H B; ZHOU DYLAN T X; ZHOU TIGER T G","B60F3/00; B63G8/00; B63G8/14; B64C39/02; G01S19/39; G05D1/00; G05D1/04; G08G3/02; G08G5/04; H04N5/232; H04N5/265; H04N7/18","Vehicles; Waterborne Vessels/Ships; Aircraft; Direction Finding; Control Systems; Signalling; Electric Communication/Television","B60F: Performing Operations; Transporting -> Vehicles In General -> Vehicles For Use Both On Rail And On Road; Vehicles Capable Of Travelling In Or On Different Media, E.G. Amphibious Vehicles; B63G: Performing Operations; Transporting -> Ships Or Other Waterborne Vessels; Related Equipment -> Offensive Or Defensive Arrangements On Vessels; Mine-Laying; Mine-Sweeping; Submarines; Aircraft Carriers; B64C: Performing Operations; Transporting -> Aircraft; Aviation; Cosmonautics -> Aeroplanes; Helicopters; G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables; G08G: Physics -> Signalling -> Traffic Control Systems; H04N: Electricity -> Electric Communication Technique -> Pictorial Communication, E.G. Television","","US","United States of America","US 201113185491 A; US 201113287279 A; US 201213620775 A; US 201213646706 A; US 201213661207 A; US 201313760214 A; US 201313875311 A; US 201313973146 A; US 201414165826 A; US 201414285659 A; US 201514695256 A; US 201514815988 A; US 201514817341 A; US 201514940379 A; US 41554602 P; US 74941210 A","2002; 2010; 2011; 2012; 2013; 2014; 2015","US","United States of America","2016-4-28","US 2016/0114887 A1","2016","Amphibious Vertical Takeoff And Landing Unmanned System And Flying Car With Multiple Aerial And Aquatic Flight Modes For Capturing Panoramic Virtual Reality Views, Interactive Video And Transportation With Mobile And Wearable Application","amphibious Vertical Takeoff; Aquatic Flight Modes; Flying Car; Interactive Video; Landing Unmanned System; Multiple Aerial; Panoramic Virtual Reality Views; Wearable Application","https://lens.org/169-737-107-990-856"
"DEERE & CO","DEERE & CO","1","A01B69/008; G01S19/01; G05D1/0088; G05D1/0231","","1","ACKERMAN CHAD A; HARRIS MARK A; MERCER DAVID S; STEPHENS SCOTT A; WU DOLLY Y","A01B69/04; G01S19/01; G05D1/00; G05D1/02","Agriculture; Direction Finding; Control Systems","A01B: Human Necessities -> Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing -> Soil Working In Agriculture Or Forestry; Parts, Details, Or Accessories Of Agricultural Machines Or Implements, In General; G01S: Physics -> Measuring; Testing -> Radio Direction-Finding; Radio Navigation; Determining Distance Or Velocity By Use Of Radio Waves; Locating Or Presence-Detecting By Use Of The Reflection Or Reradiation Of Radio Waves; Analogous Arrangements Using Other Waves; G05D: Physics -> Controlling; Regulating -> Systems For Controlling Or Regulating Non-Electric Variables","","US","United States of America","US 201462088235 P","2014","US","United States of America","2016-6-9","US 2016/0157414 A1","2016","Scouting Systems","scouting Systems","https://lens.org/105-316-555-309-166"
