applicants_orgs_all,publication_number,applicants_orgs_all_1
"Kraft General Foods, Inc",US5416304,"Kraft General Foods, Inc"
Verizon Patent And Licensing Inc,US20110159853,Verizon Patent And Licensing Inc
Scacchiera S.R.L,US20110068156,Scacchiera S.R.L
Middleby Corporation,WO2006101531,Middleby Corporation
"Kraft General Foods, Inc",CA2015271,"Kraft General Foods, Inc"
The Wool Packaging Company Limited,EP2727727,The Wool Packaging Company Limited
Koninklijke Philips Electronics N.V,WO2002099692,Koninklijke Philips Electronics N.V
Leprino Foods Company,US5902625,Leprino Foods Company
Mercury Far East Limited,US5809871,Mercury Far East Limited
"Pizza Hut, Inc",WO2001017408,"Pizza Hut, Inc"
Grupo Minsa S.A.B De C.V,WO2012032372,Grupo Minsa S.A.B De C.V
Kraft Foods Global Brands Llc,US20060210673,Kraft Foods Global Brands Llc
Ekco Packaging Ltd,EP1188688,Ekco Packaging Ltd
Nortel Networks Limited,CA2293786,Nortel Networks Limited
The Pillsbury Company,US5254820,The Pillsbury Company
Utron Technology Inc,US6289098,Utron Technology Inc
Pizzboxx Gmbh,US20030140532,Pizzboxx Gmbh
"Quadlux, Inc",WO1995012962,"Quadlux, Inc"
"Quadlux, Inc",WO1999011992,"Quadlux, Inc"
Quiel Gmbh Sondermaschinen,DE102010016634,Quiel Gmbh Sondermaschinen
"Go-Whiz-It, Inc",US20060202424,"Go-Whiz-It, Inc"
"San-Ei Gen F.F.I., Inc",EP2177111,"San-Ei Gen F.F.I., Inc"
Waddingtons Cartons Limited,EP0327243,Waddingtons Cartons Limited
Teka Ind Sa,EP2023046,Teka Ind Sa
The Pillsbury Company,US4840806,The Pillsbury Company
Nxp B. V,US20020021674,Nxp B. V
"Wilopen Products, Lc",US20070187487,"Wilopen Products, Lc"
"Microgreen Polymers, Inc",US20060257606,"Microgreen Polymers, Inc"
Microsoft Corporation,US20060287846,Microsoft Corporation
Denso Corporation,US20070067099,Denso Corporation
Verizon Patent And Licensing Inc,US20080084973,Verizon Patent And Licensing Inc
International Paper Company,US20090308785,International Paper Company
Koninklijke Philips Electronics N.V,WO2002048973,Koninklijke Philips Electronics N.V
Welbilt Corporation,US5345923,Welbilt Corporation
Welbilt Corporation,US5172682,Welbilt Corporation
Welbilt Corporation,US5050578,Welbilt Corporation
"Kraftfoods Holdings, Inc",WO2005085091,"Kraftfoods Holdings, Inc"
Techone Telekomunikasyon Iletisim Yazilim Danismanlik Ye Pazarlama Tic Ltd Sti,WO2012002917,Techone Telekomunikasyon Iletisim Yazilim Danismanlik Ye Pazarlama Tic Ltd Sti
Beckett Industries Inc,US4936935,Beckett Industries Inc
Beckett Industries Inc,US4963424,Beckett Industries Inc
"Aladdin Temp-Rite, Llc",US6483089,"Aladdin Temp-Rite, Llc"
Kraft Foods Global Brands Llc,WO2007149320,Kraft Foods Global Brands Llc
Unilever Patent Holdings B.V,US4926308,Unilever Patent Holdings B.V
"Kay Chemical, Inc",US20030022803,"Kay Chemical, Inc"
Whirlpool Co,EP1731000,Whirlpool Co
Beckett Industries Inc,CA2003985,Beckett Industries Inc
"Graphic Packaging International, Inc",CA2684507,"Graphic Packaging International, Inc"
"Glopack, Inc",CA2768294,"Glopack, Inc"
The Stouffer Corporation,US5144107,The Stouffer Corporation
Dr. August Oetker Nahrungsmittel Kg,US20080187637,Dr. August Oetker Nahrungsmittel Kg
"Approximatch, Inc",US20070185844,"Approximatch, Inc"
Patentsmith Corporation,US5404808,Patentsmith Corporation
"Aladdin Temp-Rite, Llc",US6350972,"Aladdin Temp-Rite, Llc"
The University Of Tennessee Research Corporation,WO2006043966,The University Of Tennessee Research Corporation
Gat Formulation Gmbh,EP1702675,Gat Formulation Gmbh
Gat Formulation Gmbh,ZA200604896,Gat Formulation Gmbh
Middleby Corporation,WO2007050136,Middleby Corporation
"Murex Securities, Ltd",US20020136381,"Murex Securities, Ltd"
"Lincoln Foodservice Products, Inc",EP0460803,"Lincoln Foodservice Products, Inc"
"Graphic Packaging International, Inc",CA2643020,"Graphic Packaging International, Inc"
Malagoli Aldebrando S R L,EP1782718,Malagoli Aldebrando S R L
Barilla Flli G & R,EP0501158,Barilla Flli G & R
Bce Inc,CA2689888,Bce Inc
"Little Caesar Enterprises, Inc",WO2010124156,"Little Caesar Enterprises, Inc"
Kraft Foods Global Brands Llc,US20070292583,Kraft Foods Global Brands Llc
Verizon Patent And Licensing Inc,WO2011081758,Verizon Patent And Licensing Inc
Rich Products Corporation,US20140023747,Rich Products Corporation
Rich Products Corporation,US20140023746,Rich Products Corporation
Rich Products Corporation,US20140023745,Rich Products Corporation
Research In Motion Limited,CA2694761,Research In Motion Limited
Research In Motion Limited,EP2224684,Research In Motion Limited
Taco Bell,US4585661,Taco Bell
Microsoft Corporation,US20080052151,Microsoft Corporation
"Graphic Packaging International, Inc",EP1841668,"Graphic Packaging International, Inc"
"Apptera, Inc",CA2636933,"Apptera, Inc"
Rich Products Corporation,CA2647265,Rich Products Corporation
Rich Products Corporation,EP2001305,Rich Products Corporation
Proprocess Corporation,US6332768,Proprocess Corporation
Bsh Home Appliances Corporation,US20080184987,Bsh Home Appliances Corporation
International Great Brands Llc,WO2012148543,International Great Brands Llc
The Pillsbury Company,WO1992008565,The Pillsbury Company
"Moore Business Forms, Inc",US5282649,"Moore Business Forms, Inc"
Microsoft Corporation,US20110016421,Microsoft Corporation
International Paper Company,US20090308779,International Paper Company
"Harris Technology, Llc",US20100015313,"Harris Technology, Llc"
Google Inc,US20140012586,Google Inc
Novartis Vaccines & Diagnostic,EP2583678,Novartis Vaccines & Diagnostic
"Gics & Vermee, L.P",WO1996004186,"Gics & Vermee, L.P"
International Paper Company,WO2009155304,International Paper Company
Koninklijke Philips Electronics N.V,WO2002015445,Koninklijke Philips Electronics N.V
"Microgreen Polymers, Inc",WO2004103828,"Microgreen Polymers, Inc"
"Thermal Solutions, Inc",US20010007323,"Thermal Solutions, Inc"
"Thermal Solutions, Inc",US20020063124,"Thermal Solutions, Inc"
"Mattel, Inc",US20060273508,"Mattel, Inc"
International Paper Company,US20110253772,International Paper Company
Beatrice Foods Co,US4031254,Beatrice Foods Co
"James River-Dixie/Northern, Inc",US4592914,"James River-Dixie/Northern, Inc"
"Increase Visibility Mexico, S. De R.L. De C.V",US20130282481,"Increase Visibility Mexico, S. De R.L. De C.V"
Imp Biotechnology,EP0912103,Imp Biotechnology
Iteca S P A,EP2106701,Iteca S P A
"Kargo, Inc",CA2441217,"Kargo, Inc"
"Conagra, Inc",US5510132,"Conagra, Inc"
"Conagra, Inc",US5688427,"Conagra, Inc"
Kraft Foods Global Brands Llc,US20090238935,Kraft Foods Global Brands Llc
Fonterra Co-Operative Group Limited,CA2476601,Fonterra Co-Operative Group Limited
Google Inc,US08781990,Google Inc
"Lincoln Foodservice Products, Inc",US4881519,"Lincoln Foodservice Products, Inc"
Commonwealth Scientific And Industrial Research Organisation,WO2015017901,Commonwealth Scientific And Industrial Research Organisation
Unilever Plc,WO1988000728,Unilever Plc
"General Mills, Inc",CA2567996,"General Mills, Inc"
Research In Motion Limited,EP2224391,Research In Motion Limited
Nat Starch Chem Invest,EP1430789,Nat Starch Chem Invest
Canon Kabushiki Kaisha,EP1662363,Canon Kabushiki Kaisha
National Starch And Chemical Investment Holding Corporation,CA2452856,National Starch And Chemical Investment Holding Corporation
Research In Motion Limited,CA2694533,Research In Motion Limited
"Aladdin Temp-Rite, Llc",WO2001028296,"Aladdin Temp-Rite, Llc"
Dart Industries Inc,CA2587389,Dart Industries Inc
"JenoS, Inc",US4361227,"JenoS, Inc"
"Quadlux, Inc",US5954980,"Quadlux, Inc"
Nortel Networks Limited,US6570966,Nortel Networks Limited
Generalplast S.R.L,US20040164575,Generalplast S.R.L
PastizzaS,US5283071,PastizzaS
"Dopaco, Inc",US5249736,"Dopaco, Inc"
Maytag Corporation,US6369360,Maytag Corporation
E2Open Llc,US20050209950,E2Open Llc
"Samsung Electronics Co., Ltd",US20130264383,"Samsung Electronics Co., Ltd"
Yahoo! Inc,US20090049032,Yahoo! Inc
"San-Ei Gen F.F.I., Inc",US20110008502,"San-Ei Gen F.F.I., Inc"
Targus Information Corporation,CA2618005,Targus Information Corporation
Unilever Plc,EP0598796,Unilever Plc
Nestle Sa,EP1328158,Nestle Sa
Societe Des Produits Nestle S.A,CA2424710,Societe Des Produits Nestle S.A
"Dca Food Industries, Inc",ZA198900777,"Dca Food Industries, Inc"
"Dca Food Industries, Inc",IL89132,"Dca Food Industries, Inc"
Unilever Plc,CA2115666,Unilever Plc
The Pillsbury Company,US4842882,The Pillsbury Company
AT&T Corp,US6173279,AT&T Corp
Nortel Networks Limited,US6292480,Nortel Networks Limited
"Veveo, Inc",US20070255693,"Veveo, Inc"
Microsoft Corporation,WO2008027851,Microsoft Corporation
"Steamway Franchise Sales, Inc",WO2006113886,"Steamway Franchise Sales, Inc"
Koninklijke Philips Electronics N.V,WO2007066266,Koninklijke Philips Electronics N.V
"Casio Computer Co., Ltd",WO2001073628,"Casio Computer Co., Ltd"
Whirlpool Co,EP1758000,Whirlpool Co
Food Serv Tech Ltd,EP1119831,Food Serv Tech Ltd
Hermary Opto Electronics Inc,CA2743016,Hermary Opto Electronics Inc
"Quadlux, Inc",CA2163442,"Quadlux, Inc"
Tec Tint Inc,CA2522344,Tec Tint Inc
Rich Products Corporation,CA2474369,Rich Products Corporation
"Barson Enterprises, Inc",CA2408917,"Barson Enterprises, Inc"
Wholesale Pizza Company,US3986606,Wholesale Pizza Company
Vesture Corporation,US6392201,Vesture Corporation
Google Inc,US20080243501,Google Inc
Google Inc,US20140380170,Google Inc
International Paper Company,WO2009155305,International Paper Company
Google Inc,WO2014008194,Google Inc
Yahoo! Inc,US20090076902,Yahoo! Inc
Google Inc,US20150019612,Google Inc
Google Inc,US20150019611,Google Inc
"Alfinity Usa, Llc",US20140216273,"Alfinity Usa, Llc"
"Dopaco, Inc",US5226587,"Dopaco, Inc"
"Iskoot, Inc",US20090190738,"Iskoot, Inc"
AT&T Corp,US20100070378,AT&T Corp
"Little Caesar Enterprises, Inc",US5363750,"Little Caesar Enterprises, Inc"
Aac Trade Ltd,US20070186785,Aac Trade Ltd
"Mattel, Inc",WO2006133009,"Mattel, Inc"
International Paper Company,WO2011129933,International Paper Company
"Jingle Networks, Inc",US20060173827,"Jingle Networks, Inc"
"Hewlett-Packard Development Company, L.P",US20140195968,"Hewlett-Packard Development Company, L.P"
Fonterra Co-Operative Group Limited,EP1482780,Fonterra Co-Operative Group Limited
Puck Holdings Pty Ltd,US20100028498,Puck Holdings Pty Ltd
PastizzaS,WO1993006746,PastizzaS
Bevocal Llc,WO2008073281,Bevocal Llc
Bevocal Llc,WO2008073284,Bevocal Llc
Nederlandse Organisatie Voor Toegepast- Natuurwetenschappelijk Onderzoek Tno,WO2003024253,Nederlandse Organisatie Voor Toegepast- Natuurwetenschappelijk Onderzoek Tno
Microgold,EP0505477,Microgold
Spectrum Brands Inc,EP2807967,Spectrum Brands Inc
"Apptera, Inc",US20100312640,"Apptera, Inc"
"Rheon Automatic Machinery Co., Ltd",EP2080434,"Rheon Automatic Machinery Co., Ltd"
"Rheon Automatic Machinery Co., Ltd",CA2650371,"Rheon Automatic Machinery Co., Ltd"
"H & M Food Systems Company, Inc",US5318629,"H & M Food Systems Company, Inc"
International Paper Company,US5723223,International Paper Company
Columbia Insurance Company,US20050093311,Columbia Insurance Company
Dynalab Inc,US20050286711,Dynalab Inc
Mindless Products Llc,US20100291515,Mindless Products Llc
LG Electronics Inc,US20100123001,LG Electronics Inc
Brechet & Richter Company,US20030206994,Brechet & Richter Company
"Ydreams - Informatica, S.A",US20110066646,"Ydreams - Informatica, S.A"
"Ydreams - Informatica, S.A",US20140006454,"Ydreams - Informatica, S.A"
Novus Foods Ltd,EP0839005,Novus Foods Ltd
Swisscom Ag,EP1156649,Swisscom Ag
Google Inc,CA2593424,Google Inc
General Electric Company,CA2367251,General Electric Company
Arachnid Inc,EP0949574,Arachnid Inc
"Intellisist, Llc",EP1488399,"Intellisist, Llc"
Cpc International Inc,US4143175,Cpc International Inc
James River Corporation,US4896009,James River Corporation
"Niro Atomizer, Inc",US4951472,"Niro Atomizer, Inc"
Waddingtons Cartons Limited,US5039833,Waddingtons Cartons Limited
Beckett Industries Inc,US5221419,Beckett Industries Inc
Beckett Industries Inc,US5213902,Beckett Industries Inc
"Poquito Mas, Inc",US6205914,"Poquito Mas, Inc"
"Poquito Mas, Inc",US6244167,"Poquito Mas, Inc"
Panasonic Corp,US20090265103,Panasonic Corp
Yahoo! Inc,US20100161582,Yahoo! Inc
Yahoo! Inc,US20100162154,Yahoo! Inc
"Quadlux, Inc",WO1994028692,"Quadlux, Inc"
Societe Des Produits Nestle S.A,WO2002102175,Societe Des Produits Nestle S.A
E2Open Llc,WO2003030063,E2Open Llc
Winjje Pty Ltd,WO2011057355,Winjje Pty Ltd
"Samsung Electronics Co., Ltd",WO2013151375,"Samsung Electronics Co., Ltd"
International Business Machines Corporation,US20080034030,International Business Machines Corporation
"Veveo, Inc",WO2007118038,"Veveo, Inc"
"Kay Chemical, Inc",WO2002081609,"Kay Chemical, Inc"
"Graphic Packaging International, Inc",WO2010096736,"Graphic Packaging International, Inc"
"Noema, Inc",US20040098381,"Noema, Inc"
Leer Koninklijke Emballage,EP0487166,Leer Koninklijke Emballage
Premark Feg L.L.C,CA2242962,Premark Feg L.L.C
Vesture Corporation,US20020092838,Vesture Corporation
Echostar Technologies Corporation,US20090067602,Echostar Technologies Corporation
Unilever Patent Holdings B.V,US6461654,Unilever Patent Holdings B.V
"General Mills, Inc",US20070110869,"General Mills, Inc"
The Pillsbury Company,EP0340291,The Pillsbury Company
Google Inc,WO2008122031,Google Inc
"Rheon Automatic Machinery Co., Ltd",EP0824865,"Rheon Automatic Machinery Co., Ltd"
Novus Foods Ltd,CA2226941,Novus Foods Ltd
Morinaga Milk Industry Co Ltd,CA2519281,Morinaga Milk Industry Co Ltd
Morinaga Milk Industry Co Ltd,EP1618792,Morinaga Milk Industry Co Ltd
Rakuten Inc,EP2736007,Rakuten Inc
Microgold,US5266345,Microgold
Microgold,US5110614,Microgold
Bevocal Llc,US20080139224,Bevocal Llc
Bevocal Llc,US20080139223,Bevocal Llc
"Nuance Communications, Inc",US20130346194,"Nuance Communications, Inc"
"Nuance Communications, Inc",US20130010933,"Nuance Communications, Inc"
Thixo Ltd,WO2001050873,Thixo Ltd
Yahoo! Inc,US20080243826,Yahoo! Inc
Yahoo! Inc,US20080243480,Yahoo! Inc
Google Inc,WO2015006506,Google Inc
"Service Ideas, Inc",US4117948,"Service Ideas, Inc"
"JenoS, Inc",US4364963,"JenoS, Inc"
"Tecogen, Inc",US4951648,"Tecogen, Inc"
"Glopack, Inc",US20110011905,"Glopack, Inc"
Google Inc,US08489641,Google Inc
Google Inc,US20130297591,Google Inc
Middleby Corporation,WO2010080160,Middleby Corporation
"Lallemand, Inc",CA2666197,"Lallemand, Inc"
"Biosphere Industries, Llc",CA2750273,"Biosphere Industries, Llc"
Volt Information Sciences Inc,WO2008042837,Volt Information Sciences Inc
Societe Des Produits Nestle S.A,WO1996023425,Societe Des Produits Nestle S.A
Serris Italia S.R.L,WO2008047397,Serris Italia S.R.L
Microsoft Corporation,WO2012173903,Microsoft Corporation
International Paper Company,US4009821,International Paper Company
"Doskocil Food Service Company, L.L.C",US6004592,"Doskocil Food Service Company, L.L.C"
AustinS Pizza,US20040043348,AustinS Pizza
"Embarq Holdings Company, Llc",US20090268890,"Embarq Holdings Company, Llc"
AT&T Corp,US20100169244,AT&T Corp
Puck Holdings Pty Ltd,WO2008070919,Puck Holdings Pty Ltd
Du Pont,EP0340037,Du Pont
"Kraft Foods Holdings, Inc",EP1382261,"Kraft Foods Holdings, Inc"
Firmenich Sa,EP1879470,Firmenich Sa
Ericsson Telefon Ab L M,EP1307019,Ericsson Telefon Ab L M
Telefonaktiebolaget Lm Ericsson (Publ,CA2463952,Telefonaktiebolaget Lm Ericsson (Publ
"Kraft General Foods, Inc",US4957750,"Kraft General Foods, Inc"
"Quadlux, Inc",US5726423,"Quadlux, Inc"
"Prince Castle, Inc",US20080171122,"Prince Castle, Inc"
"T-Mobile Usa, Inc",US20130166594,"T-Mobile Usa, Inc"
"Grape Technology Group, Inc",US08515047,"Grape Technology Group, Inc"
"Land OLakes, Inc",US6319526,"Land OLakes, Inc"
Nestec,US20040156980,Nestec
Blackberry Limited,US20100222035,Blackberry Limited
Bel Group Llc,US5948301,Bel Group Llc
Microsoft Corporation,US20060294071,Microsoft Corporation
"Graphic Packaging International, Inc",CA2684506,"Graphic Packaging International, Inc"
Google Inc,WO2007126717,Google Inc
Dart Ind Inc,EP1878546,Dart Ind Inc
"Kraft Foods Holdings, Inc",EP1061004,"Kraft Foods Holdings, Inc"
AT&T Corp,EP0848528,AT&T Corp
Akpharma Inc,EP0849996,Akpharma Inc
"Kraft Foods Holdings, Inc",CA2254698,"Kraft Foods Holdings, Inc"
"Kraft Foods Holdings, Inc",CA2308558,"Kraft Foods Holdings, Inc"
Pizzagroup Srl,WO1999055988,Pizzagroup Srl
Du Pont,WO2007027816,Du Pont
"Cardlytics, Inc",CA2741437,"Cardlytics, Inc"
International Paper Company,EP0251445,International Paper Company
"Graphic Packaging International, Inc",EP1655240,"Graphic Packaging International, Inc"
"Adaytum Software, Inc",CA2417765,"Adaytum Software, Inc"
"Graphic Packaging International, Inc",CA2564627,"Graphic Packaging International, Inc"
"Graphic Packaging International, Inc",CA2599145,"Graphic Packaging International, Inc"
Nextspace Technologies Pty Ltd,CA2524216,Nextspace Technologies Pty Ltd
Fort James Corporation,CA2264123,Fort James Corporation
"Graphic Packaging International, Inc",CA2657193,"Graphic Packaging International, Inc"
Microsoft Corporation,CA2669339,Microsoft Corporation
Brechet & Richter Company,WO2004112486,Brechet & Richter Company
Fonterra Co-Operative Group Limited,US20050123647,Fonterra Co-Operative Group Limited
AT&T Corp,US20090030708,AT&T Corp
Fonterra Co-Operative Group Limited,US20130344198,Fonterra Co-Operative Group Limited
Google Inc,US08533146,Google Inc
Fonterra Co-Operative Group Limited,US20130156888,Fonterra Co-Operative Group Limited
Google Inc,US08700580,Google Inc
Fonterra Co-Operative Group Limited,US20140106029,Fonterra Co-Operative Group Limited
Fonterra Co-Operative Group Limited,US20150037460,Fonterra Co-Operative Group Limited
Nestle Sa,EP0465801,Nestle Sa
Valeo Climate Control Corp,EP1538010,Valeo Climate Control Corp
Goyada Partner Ab,EP1566780,Goyada Partner Ab
Frisco Findus Ag,EP0561010,Frisco Findus Ag
"Graphic Packaging International, Inc",EP1972572,"Graphic Packaging International, Inc"
"General Mills, Inc",CA2542252,"General Mills, Inc"
Google Inc,CA2729285,Google Inc
Pactiv Corporation,CA2345502,Pactiv Corporation
Microsoft Corporation,US6973448,Microsoft Corporation
Microsoft Corporation,US20050273469,Microsoft Corporation
Google Inc,US08655901,Google Inc
"Apptera, Inc",WO2007078640,"Apptera, Inc"
AT&T Corp,WO1999053676,AT&T Corp
"Dopaco, Inc",US5603450,"Dopaco, Inc"
The Pillsbury Company,US4187771,The Pillsbury Company
The Procter & Gamble Company,US5211981,The Procter & Gamble Company
Macmillan Bloedel Containers,US5060851,Macmillan Bloedel Containers
Imperial Biotechnology Limited,US6086926,Imperial Biotechnology Limited
"Somerset Industries, Inc",US20040009256,"Somerset Industries, Inc"
"Time Warner Cable, A Division Of Time Warner Entertainment Company, L.P",US20030223403,"Time Warner Cable, A Division Of Time Warner Entertainment Company, L.P"
Nieco Corporation,US20090181146,Nieco Corporation
Glaxosmithkline Llc,US20140037759,Glaxosmithkline Llc
The Pillsbury Company,EP0416026,The Pillsbury Company
Patentsmith Corporation,EP0693879,Patentsmith Corporation
X 10 Ltd,EP1857990,X 10 Ltd
The Pillsbury Company,EP0345523,The Pillsbury Company
"Docomo Communications Laboratories Usa, Inc",EP1324250,"Docomo Communications Laboratories Usa, Inc"
X 10 Ltd,CA2588926,X 10 Ltd
Nestec,US5674549,Nestec
"JenoS, Inc",US4513918,"JenoS, Inc"
Conagra Dairy Products Company,US20030008056,Conagra Dairy Products Company
Terphane Inc,US20050208282,Terphane Inc
Google Inc,US08364647,Google Inc
Microgold,WO1991008673,Microgold
"Gics & Vermee, L.P",WO1996015049,"Gics & Vermee, L.P"
Koninklijke Philips Electronics N.V,WO2010128470,Koninklijke Philips Electronics N.V
"Prasara Technologies, Inc",EP2091250,"Prasara Technologies, Inc"
"Cornell Research Foundation, Inc",US5925398,"Cornell Research Foundation, Inc"
Fonterra Co-Operative Group Limited,US20100196533,Fonterra Co-Operative Group Limited
"Ydreams - Informatica, S.A",WO2011034454,"Ydreams - Informatica, S.A"
"Glopack, Inc",WO2011008228,"Glopack, Inc"
"Jingle Networks, Inc",WO2006058340,"Jingle Networks, Inc"
